lot_id,action,old_tw,new_tw,old_conf,new_conf,gap_days,company
18421800,added,,gap_snapshot_2022-05,,medium,113,"Аптека-эконом | Семейные традиции, кофейня-пекарня | Магазин табачной продукции"
18460267,added,,gap_snapshot_2022-12,,medium,318,"Физкультура и спорт, журнал"
18460585,added,,gap_snapshot_2022-12,,medium,318,"Полюса, Офис"
18486174,added,,gap_snapshot_2022-12,,high,339,"OZON, Пункт выдачи заказов"
18489764,added,,gap_snapshot_2022-05,,medium,125,"OZON | Wildberries, интернет-магазин"
18502433,added,,gap_snapshot_2022-08,,medium,225,"Tory club, детский клуб | Еврохолод, компания"
18507088,added,,gap_snapshot_2022-05,,high,127,"Землемер, компания"
18518658,added,,gap_snapshot_2022-05,,high,131,Институт психологии и психосоматической терапии
18520718,added,,gap_snapshot_2022-05,,medium,126,"Эльд | Марфино, досуговый спортивный центр"
18524209,added,,gap_snapshot_2022-12,,high,331,Средняя общеобразовательная школа №7 с дошкольным отделением
18524219,added,,gap_snapshot_2022-05,,high,117,"5post, сеть пунктов выдачи"
18526293,added,,gap_snapshot_2022-05,,medium,109,Нотариусы Гимкаева Н.И. и Далиева Л.П. | Московский Центр Переводов | Адвокатский кабинет Юсупова Ф.М.
18532843,added,,gap_snapshot_2022-12,,high,330,"Авоська, универсам"
18534678,added,,gap_snapshot_2022-05,,high,103,Бери заряд!
18534846,added,,gap_snapshot_2022-05,,high,103,Smiling master
18536707,added,,gap_snapshot_2022-12,,medium,316,"Lorange, салон красоты | Dpsp studio epilier | Wildberries, интернет-магазин"
18539152,added,,gap_snapshot_2022-05,,medium,90,"Lunara | Академия детского мюзикла | Inside, дом танца"
18539971,added,,gap_snapshot_2022-12,,high,304,"Почта России, Отделение №123007"
18541726,added,,gap_snapshot_2022-12,,medium,301,"Магнит, супермаркет | Красное&Белое, магазин | OZON"
18543302,added,,gap_snapshot_2022-08,,medium,160,Самокат
18559831,added,,gap_snapshot_2022-12,,high,267,"Тис, компания по производству пластиковых изделий"
18559903,added,,gap_snapshot_2022-08,,medium,147,"5post, пункт выдачи | Пятёрочка, супермаркет"
18568027,added,,gap_snapshot_2022-08,,medium,125,"Копрокон, производственная компания"
18569627,added,,gap_snapshot_2022-08,,medium,125,"Дикси, супермаркет | Фортуна, салон красоты"
18574941,added,,gap_snapshot_2022-08,,high,111,"Wildberries, интернет-магазин"
18575249,added,,gap_snapshot_2022-12,,medium,225,"Библиотека №118 им. В.Н.Соколова | Юго-Восток, центр досуга и спорта | Лингвитания, языковой центр"
18576173,added,,gap_snapshot_2022-08,,medium,103,"Remtime, сервис по ремонту бытовой техники и электроники | Самокат | Свой доктор, ветеринарная клиника"
18576243,added,,gap_snapshot_2022-12,,high,225,"Wildberries, интернет-магазин"
18577642,added,,gap_snapshot_2022-08,,high,100,"Join me, студия окрашивания"
18578846,added,,gap_snapshot_2022-08,,medium,69,"Qiwi, платежный терминал | Свобода, фирменный магазин косметики"
18579518,added,,gap_snapshot_2022-08,,high,97,"Ma&Mi, студия красоты"
18583796,added,,gap_snapshot_2022-12,,medium,214,"Додо Пицца, сеть пиццерий | КуулКлевер Мясновъ Отдохни, Магазин №101 | МКБ, платежный терминал"
18589425,added,,gap_snapshot_2022-08,,medium,96,"Simplewine, винотека | Горздрав, сеть выгодных аптек"
18608682,added,,gap_snapshot_2022-12,,medium,191,"Хвостик | Фортуна, автошкола"
18624066,added,,gap_snapshot_2022-12,,medium,177,"Ароматная роза, салон цветов | Персона gossip pro, салон красоты | Почта России, Отделение №121059"
18634004,added,,gap_snapshot_2022-12,,high,150,Гефест-Аларм
18636275,added,,gap_snapshot_2022-12,,medium,164,"Формула переезда | Городская поликлиника №67, Административный отдел"
18648990,added,,gap_snapshot_2022-12,,high,148,"Domino`s pizza, пиццерия"
18651178,added,,gap_snapshot_2022-12,,high,145,Стоматологическая клиника Доктора Кудрявцева
18663860,added,,gap_snapshot_2022-12,,medium,130,"Почта Банк, банкомат"
18672162,added,,gap_snapshot_2022-12,,medium,120,"Здравсити, аптека | Дамбо, детский центр"
18683648,added,,gap_snapshot_2022-12,,medium,110,"3dplemya | Средняя общеобразовательная школа №7 с дошкольным отделением | Exist.ru, интернет-магазин автозапчастей"
18686843,added,,gap_snapshot_2022-12,,medium,107,"Cool 360 Price, кафе быстрого обслуживания | Столички, Аптечный пункт №1088 | Subway"
18689653,added,,gap_snapshot_2022-12,,high,109,"Плов, бистро"
18695296,added,,gap_snapshot_2022-12,,high,99,"Объект, компьютерный клуб"
18700868,added,,gap_snapshot_2022-12,,medium,94,"Икорный, магазин морепродуктов | Табачный, магазин"
18700951,added,,gap_snapshot_2022-12,,medium,94,"Ателье на Обручева | Rotary master, студия красоты"
18702348,added,,gap_snapshot_2022-12,,high,85,"Wildberries, интернет-магазин"
18710278,added,,gap_snapshot_2022-12,,medium,87,"Багира, салон красоты | Гост, оптика | Столички, аптека"
18719169,added,,gap_snapshot_2022-12,,medium,72,"Соната клиник, центр стоматологии и косметологии | ГОРЗДРАВ, аптека №504 | Glowsubs sandwiches, кафе быстрого обслуживания"
18730608,added,,gap_snapshot_2022-12,,medium,64,"Восточное Измайлово, территориальный центр социального обслуживания"
18596549,added,,gap_snapshot_2023-12,,medium,304,"Ремонтная мастерская, Ремонтная мастерская"
18828364,added,,gap_snapshot_2023-12,,medium,342,"Dolls, мужской клуб | Пятёрочка, супермаркет"
18829611,added,,gap_snapshot_2023-12,,high,345,Экспресс-кофейня
18830746,added,,gap_snapshot_2023-12,,high,338,"Патриот групп, кадровое агентство"
