lot_id,url,purchase_date,prev_snapshot_label,snapshot_label,snapshot_date,days_after_purchase,lot_address,lot_address_norm,candidate_count,confidence,multilot_building,likely_company,likely_usage,company_candidates_preview,usage_candidates_preview
18421800,https://investmoscow.ru/tenders/tender/18421800,2022-02-07,2022-01,2022-05,2022-05-31,113,"Южный административный округ, Даниловский, город Москва, 2-й Автозаводский проезд, дом 2, Помещение 8Н",2 й автозаводский проезд 2,3,medium,,"Аптека-эконом | Семейные традиции, кофейня-пекарня | Магазин табачной продукции","Медицинские товары -> Аптеки | Общественное питание -> Быстрое питание, Точки кофе | Продукты питания -> Табачные изделия / Товары для курения, Электронные сигареты","Аптека-эконом | Семейные традиции, кофейня-пекарня | Магазин табачной продукции","Медицинские товары -> Аптеки | Общественное питание -> Быстрое питание, Точки кофе | Продукты питания -> Табачные изделия / Товары для курения, Электронные сигареты"
18459539,https://investmoscow.ru/tenders/tender/18459539,2022-02-16,2022-08,2022-12,2022-12-31,318,"Западный административный округ, Можайский, город Москва, улица Багрицкого, дом 61, Подвал № 0, Этаж № 1",улица багрицкого 61,12,low,1,"Сервисный центр по ремонту телефонов | Магнит, супермаркет | Металлические системы, производственная компания","Аудио / Видео / Бытовая техника, Компьютеры, Средства связи -> Ремонт / установка бытовой техники, Ремонт компьютеров, Ремонт мобильных телефонов | Торговые комплексы -> Супермаркеты | Металлы -> Металлоизделия","Сервисный центр по ремонту телефонов | Магнит, супермаркет | Металлические системы, производственная компания | Магазин строительных и хозяйственных товаров | Строймир","Аудио / Видео / Бытовая техника, Компьютеры, Средства связи -> Ремонт / установка бытовой техники, Ремонт компьютеров, Ремонт мобильных телефонов | Торговые комплексы -> Супермаркеты | Металлы -> Металлоизделия | Книги / Канцелярия, Отделочные материалы, Садово-хозяйственные товары, Строительные материалы / конструкции -> Канцелярские товары / Учебные принадлежности, Лакокрасочные материалы, Строительные материалы, Сухие строительные смеси, Теплоизоляционные материалы, Хозяйственные товары | Садово-хозяйственные товары, Сантехническое оборудование, Строительные материалы / конструкции -> Сантехника / Санфаянс, Строительные материалы, Хозяйственные товары"
18460267,https://investmoscow.ru/tenders/tender/18460267,2022-02-16,2022-08,2022-12,2022-12-31,318,"Северный административный округ, Войковский, город Москва, 6-й Новоподмосковный переулок, дом 3, Этаж № 1",6 й новоподмосковный переулок 3,1,medium,,"Физкультура и спорт, журнал",СМИ -> Журналы,"Физкультура и спорт, журнал",СМИ -> Журналы
18460585,https://investmoscow.ru/tenders/tender/18460585,2022-02-16,2022-08,2022-12,2022-12-31,318,"Северо-Восточный административный округ, Ярославский, город Москва, Югорский проезд, дом 6, Этаж №1",югорский проезд 6,1,medium,,"Полюса, Офис","Наружная реклама, Рекламные услуги -> Дизайн рекламы, Изготовление рекламных конструкций, Размещение наружной рекламы","Полюса, Офис","Наружная реклама, Рекламные услуги -> Дизайн рекламы, Изготовление рекламных конструкций, Размещение наружной рекламы"
18482658,https://investmoscow.ru/tenders/tender/18482658,2022-01-13,2022-01,2022-05,2022-05-31,138,"Восточный административный округ, Измайлово, город Москва, Измайловский бульвар, дом 3, Подвал № 0",измайловский бульвар 3,5,low,,"Тандем, строительная компания | Лемурпроф, торговая компания | ГрузГарант, компания","Строительные / монтажные работы, Строительство зданий / сооружений -> Ремонт / отделка помещений, Строительство дач / коттеджей, Техническая экспертиза зданий и сооружений | Красота / Здоровье, Оборудование для сферы услуг -> Косметика / расходные материалы для салонов красоты, Оборудование для салонов красоты | Грузоперевозки / Транспортные услуги -> Городские автогрузоперевозки, Междугородные автогрузоперевозки, Экспедирование грузов","Тандем, строительная компания | Лемурпроф, торговая компания | ГрузГарант, компания | АМД Групп, строительная компания | ЭВ-КомСтрой, строительная компания","Строительные / монтажные работы, Строительство зданий / сооружений -> Ремонт / отделка помещений, Строительство дач / коттеджей, Техническая экспертиза зданий и сооружений | Красота / Здоровье, Оборудование для сферы услуг -> Косметика / расходные материалы для салонов красоты, Оборудование для салонов красоты | Грузоперевозки / Транспортные услуги -> Городские автогрузоперевозки, Междугородные автогрузоперевозки, Экспедирование грузов | Строительство зданий / сооружений -> Строительство административных зданий"
18486140,https://investmoscow.ru/tenders/tender/18486140,2022-01-13,2021-10,2022-01,2022-01-31,18,"Центральный административный округ, Басманный, город Москва, Малый Демидовский переулок, дом 3, Подвал № 0",малый демидовский переулок 3,1,high,1,"Artremonts, сервисный центр","Компьютеры, Средства связи -> Ремонт компьютеров, Ремонт мобильных телефонов","Artremonts, сервисный центр","Компьютеры, Средства связи -> Ремонт компьютеров, Ремонт мобильных телефонов"
18486174,https://investmoscow.ru/tenders/tender/18486174,2022-01-26,2021-10,2022-01,2022-01-31,5,"Восточный административный округ, Ивановское, город Москва, Челябинская улица, дом 17, Этаж № 1",челябинская улица 17,1,high,,OZON,,OZON,
18489764,https://investmoscow.ru/tenders/tender/18489764,2022-01-26,2022-01,2022-05,2022-05-31,125,"Северо-Западный административный округ, Хорошево-Мневники, город Москва, Новохорошёвский проезд, дом 20, этаж № подвал",новохорошевский проезд 20,2,medium,1,"OZON | Wildberries, интернет-магазин",Грузоперевозки / Транспортные услуги -> Пункты выдачи интернет-заказов,"OZON | Wildberries, интернет-магазин",Грузоперевозки / Транспортные услуги -> Пункты выдачи интернет-заказов
18493822,https://investmoscow.ru/tenders/tender/18493822,2022-02-07,2022-01,2022-05,2022-05-31,113,"г. Москва, ул. Мещерякова, Дом 7, Подвал № 0",улица мещерякова 7,5,low,,"ТРИ С ПРОФИ, интернет-магазин | Crazybike shop | Каталея, студия красоты","Текстиль -> Швейная фурнитура | Спортивные товары -> Спортивный инвентарь | Красота / Здоровье -> Парикмахерские, Услуги массажиста, Эпиляция","ТРИ С ПРОФИ, интернет-магазин | Crazybike shop | Каталея, студия красоты | Ziwo, климатическая компания | Вай Тай, салон тайского массажа и СПА","Текстиль -> Швейная фурнитура | Спортивные товары -> Спортивный инвентарь | Красота / Здоровье -> Парикмахерские, Услуги массажиста, Эпиляция | Климатическое оборудование, Предметы интерьера / экстерьера, Строительные / монтажные работы, Электротехника -> Кондиционеры, Котельное оборудование / Котлы, Монтаж климатических систем, Печи / Камины, Электронагревательное оборудование | Красота / Здоровье -> SPA-процедуры, Косметика / Парфюмерия, Услуги массажиста"
18500789,https://investmoscow.ru/tenders/tender/18500789,2022-01-31,2022-05,2022-08,2022-08-31,212,"Западный административный округ, Раменки, Российская Федерация, город Москва, внутригородская территория муниципальный округ Раменки, улица Пудовкина, дом 3, Этаж № 1",улица пудовкина 3,8,low,,"Анп-риэлт, агентство недвижимости | Соломинка, медицинская служба | Сауналэнд, торгово-строительная компания","Недвижимость -> Агентства недвижимости | Аварийные / справочные / экстренные службы, Грузоперевозки / Транспортные услуги -> Перевозка автотранспортом людей с ограниченными возможностями, Скорая медицинская помощь | Предметы интерьера / экстерьера, Спецмагазины, Строительство зданий / сооружений -> Печи / Камины, Строительство бань / саун, Товары для бань / саун","Анп-риэлт, агентство недвижимости | Соломинка, медицинская служба | Сауналэнд, торгово-строительная компания | Два льва, салон красоты | Флаг.ру, российский производитель флагов","Недвижимость -> Агентства недвижимости | Аварийные / справочные / экстренные службы, Грузоперевозки / Транспортные услуги -> Перевозка автотранспортом людей с ограниченными возможностями, Скорая медицинская помощь | Предметы интерьера / экстерьера, Спецмагазины, Строительство зданий / сооружений -> Печи / Камины, Строительство бань / саун, Товары для бань / саун | Красота / Здоровье -> Ногтевые студии, Парикмахерские, Услуги косметолога, Услуги массажиста, Услуги по уходу за ресницами / бровями | Издательское дело / Полиграфия, Наружная реклама -> Изготовление рекламных конструкций, Материалы для наружной рекламы, Прямая цифровая печать, Шелкография, Широкоформатная печать"
18502433,https://investmoscow.ru/tenders/tender/18502433,2022-01-18,2022-05,2022-08,2022-08-31,225,"Юго-Восточный административный округ, Рязанский, Российская Федерация, город Москва, внутригородская территория муниципальный округ Рязанский, улица Паперника, дом 15, Подвал № 0",улица паперника 15,2,medium,,"Tory club, детский клуб | Еврохолод, компания","Медицинские услуги, Общее образование / Центры раннего развития детей, Спортивные клубы / школы, Центры творчества и досуга -> Детские / подростковые клубы, Обучение танцам, Спортивные секции, Услуги логопеда, Центры раннего развития детей | Архитектура / Проектирование / Дизайн, Климатическое оборудование, Строительные / монтажные работы -> Вентиляционное / тепловое оборудование, Кондиционеры, Монтаж климатических систем, Проектирование инженерных систем, Ремонт / обслуживание климатического оборудования","Tory club, детский клуб | Еврохолод, компания","Медицинские услуги, Общее образование / Центры раннего развития детей, Спортивные клубы / школы, Центры творчества и досуга -> Детские / подростковые клубы, Обучение танцам, Спортивные секции, Услуги логопеда, Центры раннего развития детей | Архитектура / Проектирование / Дизайн, Климатическое оборудование, Строительные / монтажные работы -> Вентиляционное / тепловое оборудование, Кондиционеры, Монтаж климатических систем, Проектирование инженерных систем, Ремонт / обслуживание климатического оборудования"
