номер_лота,rs_chains_count,rs_categories,rs_top_chains,rs_top_category
18274754,59,"Аптеки, Банки, Детские товары, Зоомагазины, Кофе с собой, Мебель, Обувь, Общепит, Одежда, Оптика, Парфюмерия и косметика, Продукты, Развлечения/кинотеатры, Спорт, Стройматериалы, Супермаркет/Гипермаркет, Товары для дома, Фото/печатные салоны, Электронника, бытовая техника, Ювелирный",ДОКТОР СТОЛЕТОВ; ОЗЕРКИ; ДИАЛОГ; РОСАПТЕКА; ГАРМОНИЯ ЗДОРОВЬЯ; АЛЬФАБАНК; HOME CREDIT BANK; 4 ЛАПЫ,Супермаркет/Гипермаркет
18335545,69,"Аптеки, Банки, Зоомагазины, Кофе с собой, Мебель, Обувь, Общепит, Одежда, Оптика, Парфюмерия и косметика, Продукты, Пунк выдачи, Развлечения/кинотеатры, Салоны связи, Спорт, Стройматериалы, Супермаркет/Гипермаркет, Товары для дома, Фото/печатные салоны, Электронника, бытовая техника, Ювелирный",ЮНИФАРМА; ПАРАЦЕЛЬС; 36И6; ДОКТОР СТОЛЕТОВ; ОЗЕРКИ; СТОЛИЧКИ; ДИАЛОГ; РОСАПТЕКА,Аптеки
18337692,51,"Аптеки, Банки, Зоомагазины, Кофе с собой, Мебель, Обувь, Общепит, Одежда, Оптика, Парфюмерия и косметика, Продукты, Развлечения/кинотеатры, Салоны связи, Спорт, Стройматериалы, Супермаркет/Гипермаркет, Товары для дома, Фото/печатные салоны, Электронника, бытовая техника, Ювелирный",ДОКТОР СТОЛЕТОВ; ОЗЕРКИ; ДИАЛОГ; РОСАПТЕКА; ГАРМОНИЯ ЗДОРОВЬЯ; АЛЬФАБАНК; HOME CREDIT BANK; 4 ЛАПЫ,Ювелирный
18351262,67,"Аптеки, Банки, Дарксторы, Зоомагазины, Кофе с собой, Мебель, Обувь, Общепит, Одежда, Оптика, Парфюмерия и косметика, Продукты, Развлечения/кинотеатры, Спорт, Стройматериалы, Супермаркет/Гипермаркет, Товары для дома, Фото/печатные салоны, Электронника, бытовая техника, Ювелирный",ДОКТОР СТОЛЕТОВ; ОЗЕРКИ; ДИАЛОГ; РОСАПТЕКА; ГАРМОНИЯ ЗДОРОВЬЯ; АЛЬФАБАНК; HOME CREDIT BANK; OZON fresh,Супермаркет/Гипермаркет
18356371,60,"Аптеки, Банки, Зоомагазины, Кофе с собой, Мебель, Обувь, Общепит, Одежда, Оптика, Парфюмерия и косметика, Продукты, Развлечения/кинотеатры, Спорт, Стройматериалы, Супермаркет/Гипермаркет, Товары для дома, Фото/печатные салоны, Электронника, бытовая техника, Ювелирный",ДОКТОР СТОЛЕТОВ; ОЗЕРКИ; ДИАЛОГ; РОСАПТЕКА; ГАРМОНИЯ ЗДОРОВЬЯ; АЛЬФАБАНК; HOME CREDIT BANK; 4 ЛАПЫ,Ювелирный
18359098,79,"Аптеки, Банки, Зоомагазины, Кофе с собой, Мебель, Медицина, Обувь, Общепит, Одежда, Оптика, Парфюмерия и косметика, Продукты, Пунк выдачи, Развлечения/кинотеатры, Салоны связи, Спорт, Стройматериалы, Супермаркет/Гипермаркет, Товары для дома, Фото/печатные салоны, Электронника, бытовая техника, Ювелирный",РИГЛА; 36И6; ДОКТОР СТОЛЕТОВ; ОЗЕРКИ; ГОРЗДРАВ; СТОЛЕТНИК; МЕЛОДИЯ ЗДОРОВЬЯ; МАСАВИТ,Аптеки
18360372,67,"Аптеки, Банки, Зоомагазины, Кофе с собой, Мебель, Обувь, Общепит, Одежда, Оптика, Парфюмерия и косметика, Продукты, Развлечения/кинотеатры, Спорт, Стройматериалы, Супермаркет/Гипермаркет, Товары для дома, Фото/печатные салоны, Электронника, бытовая техника, Ювелирный",ДОКТОР СТОЛЕТОВ; ОЗЕРКИ; ДИАЛОГ; РОСАПТЕКА; ГАРМОНИЯ ЗДОРОВЬЯ; АЛЬФАБАНК; HOME CREDIT BANK; 4 ЛАПЫ,Общепит
18419721,66,"Аптеки, Банки, Зоомагазины, Кофе с собой, Мебель, Обувь, Общепит, Одежда, Оптика, Парфюмерия и косметика, Продукты, Пунк выдачи, Развлечения/кинотеатры, Салоны связи, Спорт, Стройматериалы, Супермаркет/Гипермаркет, Товары для дома, Фото/печатные салоны, Электронника, бытовая техника, Ювелирный",РИГЛА; ЮНИФАРМА; ПАРАЦЕЛЬС; 36И6; ДОКТОР СТОЛЕТОВ; ОЗЕРКИ; СТОЛЕТНИК; МАСАВИТ,Аптеки
18419939,86,"Алкомаркеты, Аптеки, Банки, Зоомагазины, Кофе с собой, Мебель, Медицина, Обувь, Общепит, Одежда, Оптика, Парфюмерия и косметика, Продукты, Развлечения/кинотеатры, Салоны связи, Спорт, Стройматериалы, Супермаркет/Гипермаркет, Товары для дома, Фото/печатные салоны, Электронника, бытовая техника, Ювелирный",КРАСНОЕ И БЕЛОЕ; ВИНЛАБ; ГРАДУСЫ; WINESTYLE; WINE STYLE; БУТЫЛЬ; ДОКТОР СТОЛЕТОВ; ОЗЕРКИ,Ювелирный
18421800,72,"Аптеки, Банки, Зоомагазины, Кофе с собой, Мебель, Медицина, Обувь, Общепит, Одежда, Оптика, Парфюмерия и косметика, Продукты, Пунк выдачи, Развлечения/кинотеатры, Салоны связи, Спорт, Стройматериалы, Супермаркет/Гипермаркет, Товары для дома, Фото/печатные салоны, Электронника, бытовая техника, Ювелирный",РИГЛА; ЮНИФАРМА; ПАРАЦЕЛЬС; 36И6; ДОКТОР СТОЛЕТОВ; ОЗЕРКИ; СТОЛЕТНИК; МАСАВИТ,Аптеки
