lot_id,url,source,purchase_date,snapshot_label,days_after_purchase,confidence,likely_company,likely_usage,candidate_count
19536751,https://investmoscow.ru/tenders/tender/19536751,baseline,18.12.2024 10:00,2025-09,286,medium,"Мск-сиз, интернет-магазин | Магнит, супермаркет",Грузоперевозки / Транспортные услуги -> Пункты выдачи интернет-заказов | Торговые комплексы -> Супермаркеты,2
19677110,https://investmoscow.ru/tenders/tender/19677110,baseline,16.10.2024 17:00,2025-09,349,medium,"Renaissance, юридическая компания | Brandlove, магазин",Юридические услуги -> Регистрация / ликвидация предприятий | Одежда / Аксессуары -> Бижутерия,2
19677523,https://investmoscow.ru/tenders/tender/19677523,baseline,16.10.2024 17:00,2025-09,349,high,Университет Дополнительного Профессионального Образования,Дополнительное образование / Развивающие курсы -> Профессиональная переподготовка / Повышение квалификации,1
19679308,https://investmoscow.ru/tenders/tender/19679308,baseline,29.10.2024 17:00,2025-09,336,high,"Барберхаус, барбершоп",Красота / Здоровье -> Барбершопы,1
19679310,https://investmoscow.ru/tenders/tender/19679310,baseline,29.10.2024 17:00,2025-09,336,high,Центр информирования по переселению,Аварийные / справочные / экстренные службы -> Справочные,1
19679320,https://investmoscow.ru/tenders/tender/19679320,baseline,29.10.2024 17:00,2025-09,336,high,Центр информирования по переселению,Аварийные / справочные / экстренные службы -> Справочные,1
19679323,https://investmoscow.ru/tenders/tender/19679323,baseline,29.10.2024 17:00,2025-09,336,medium,"Wildberries, пункт выдачи интернет-заказов",Грузоперевозки / Транспортные услуги -> Пункты выдачи интернет-заказов,1
19679325,https://investmoscow.ru/tenders/tender/19679325,baseline,29.10.2024 17:00,2025-09,336,medium,"Wildberries, пункт выдачи интернет-заказов",Грузоперевозки / Транспортные услуги -> Пункты выдачи интернет-заказов,1
19679394,https://investmoscow.ru/tenders/tender/19679394,baseline,29.10.2024 17:00,2025-09,336,medium,"Wildberries, пункт выдачи интернет-заказов",Грузоперевозки / Транспортные услуги -> Пункты выдачи интернет-заказов,1
19679529,https://investmoscow.ru/tenders/tender/19679529,baseline,29.10.2024 17:00,2025-09,336,high,"Красное&Белое, продуктовый магазин",Напитки -> Алкогольные напитки,1
19679530,https://investmoscow.ru/tenders/tender/19679530,baseline,29.10.2024 17:00,2025-09,336,high,"Wildberries, пункт выдачи интернет-заказов",Грузоперевозки / Транспортные услуги -> Пункты выдачи интернет-заказов,1
19679575,https://investmoscow.ru/tenders/tender/19679575,baseline,29.10.2024 17:00,2025-09,336,medium,"Московский, постамат | Дикси go!",Бытовые услуги -> Постаматы | Торговые комплексы -> Супермаркеты,2
19679644,https://investmoscow.ru/tenders/tender/19679644,baseline,30.10.2024 17:00,2025-09,335,medium,"Wildberries, пункт выдачи интернет-заказов | Ozon | Qlean, пункт приёма химчистки","Грузоперевозки / Транспортные услуги -> Пункты выдачи интернет-заказов | Бытовые услуги, Уборка / Обработка помещений -> Клининг, Прачечные, Химчистки одежды / текстиля",3
19681493,https://investmoscow.ru/tenders/tender/19681493,baseline,23.10.2024 17:00,2025-09,342,medium,"Бери заряд!, станция зарядки телефонов | Прекрасное далеко, музей советской игрушки",Средства связи -> Станции зарядки телефонов | Культура / Искусство -> Музеи,2
19681751,https://investmoscow.ru/tenders/tender/19681751,baseline,31.10.2024 17:00,2025-09,334,medium,Ozon,Грузоперевозки / Транспортные услуги -> Пункты выдачи интернет-заказов,1
19681752,https://investmoscow.ru/tenders/tender/19681752,baseline,31.10.2024 17:00,2025-09,334,medium,Ozon,Грузоперевозки / Транспортные услуги -> Пункты выдачи интернет-заказов,1
19681753,https://investmoscow.ru/tenders/tender/19681753,baseline,31.10.2024 17:00,2025-09,334,medium,Ozon,Грузоперевозки / Транспортные услуги -> Пункты выдачи интернет-заказов,1
19682098,https://investmoscow.ru/tenders/tender/19682098,baseline,11.12.2024 10:00,2025-09,293,high,"Winestyle, магазин алкогольной продукции",Напитки -> Алкогольные напитки,1
19682670,https://investmoscow.ru/tenders/tender/19682670,baseline,23.10.2024 17:00,2025-09,342,medium,"RHotel4, отель | TPO&EPDM, компания",Туризм / Отдых -> Гостиницы | Строительные материалы / конструкции -> Гидроизоляционные материалы,2
