lot_id,status,after_days,after_snapshot,confidence,likely_company,dropped
18500665,added,1334,2025-09,medium,"Почта России, отделение №111399 | CDEK, служба экспресс-доставки",
18500756,added,1334,2025-09,medium,"Podnimi.net, интернет-магазин | Podnimi",
18502367,added,1351,2025-09,medium,"Black Service, шиномонтажная мастерская",
18502433,all_filtered,1351,2025-09,,,"AREA(155m² vs 250-6000): Tory club, детский клуб"
18502521,added,1334,2025-09,medium,"Мастихин, школа искусств",
18504954,added,1345,2025-09,medium,"Wildberries, пункт выдачи интернет-заказов",
18507063,added,1345,2025-09,medium,"Московский печатный двор, полиграфический центр | Дом портретов, художественная мастерская","IMPLAUSIBLE: Мировой судья района Южнопортовый, участок №450 (Правоохранительные органы -> Суды)"
18509795,added,1329,2025-09,medium,"Wildberries, пункт выдачи интернет-заказов",
18514560,added,1329,2025-09,medium,"Магнит, супермаркет | Expe Comp, компьютерный магазин",
18518658,added,1349,2025-09,medium,"Институт психологии и психосоматической терапии | Pf Grado, компания | Кабинет психолога Казакова Е.А.",
18524209,added,1335,2025-09,medium,"Начальная школа | Мега склад, управляющая компания",
18526293,added,1327,2025-09,medium,"Московский центр переводов | Нотариусы Гимкаева Н.И. и Далиева Л.П. | KDL, медицинская лаборатория",
18527060,added,1327,2025-09,medium,"А-Лина, стоматологическая клиника",
18536444,added,1331,2025-09,medium,"Романов переулок, 7",
18539227,added,1307,2025-09,medium,"МВ, журнал | Обедин и партнеры, юридическая фирма | Мв, галерея",
18540036,added,1307,2025-09,medium,"Трудяга, магазин хозтоваров",
18540567,all_filtered,1305,2025-09,,,"IMPLAUSIBLE: Жилищник района Якиманка, ОДС №4, мастерский участок №2 (Жилищно-коммунальные услуги -> Диспетчерские службы)"
18543665,added,1286,2025-09,medium,"Пчёлки, студия красоты",
18545175,added,1287,2025-09,medium,"Иварт авто, интернет-магазин",
18549667,added,1280,2025-09,medium,"Геоматика, научно-производственная компания",
18554131,added,1278,2025-09,medium,"Экспресс-Реклама | Красота-это ты! | Dasha_lash.es, студия наращивания ресниц",
18566413,added,1251,2025-09,medium,"Магнит, супермаркет | Expe Comp, компьютерный магазин",
18569607,added,1251,2025-09,medium,"Самокат, служба доставки | Ноокен , магазин быстрого питания",
18579518,added,1223,2025-09,medium,"Ma and Mi, студия красоты | Annurclothes, магазин женской одежды",
18582871,added,1224,2025-09,medium,"Ozon, пункт выдачи товара | Богородскмебель+, компания | Складно, компания",
18583796,added,1218,2025-09,medium,"КуулКлевер Мясновъ Отдохни, магазин №101 | Додо Пицца, сеть пиццерий",
18585452,added,1230,2025-09,medium,"Ароматный мир, винный супермаркет",
18585454,added,1230,2025-09,medium,"Ароматный мир, винный супермаркет",
18595195,added,1216,2025-09,medium,"Личность, центр досуга | Хан, хостел",IMPLAUSIBLE: ОДС №339 (Жилищно-коммунальные услуги -> Диспетчерские службы)
18608682,added,1195,2025-09,medium,"Фортуна, автошкола | Пилигрим , центр развития",
18609421,added,1195,2025-09,medium,"As, центр красоты | All4jewels",
18634004,added,1154,2025-09,medium,"Гефест-Аларм | Уютный, хостел",
18636273,added,1155,2025-09,medium,"Каролайн, компания по проведению квестов",IMPLAUSIBLE: МСК Инвест Партнеры (Жилищно-коммунальные услуги -> Жилищно-коммунальные услуги)
18647495,added,1152,2025-09,medium,"Wildberries, пункт выдачи товара",
18650394,added,1149,2025-09,medium,"Xsize, студия СПА и массажа",
18651343,added,1147,2025-09,medium,"Красное&Белое, продуктовый магазин",
18652655,added,1146,2025-09,medium,"Philasia SPA, СПА-салон","AREA(26m² vs 250-6000): Останкино, спортивно-досуговый центр || AREA(26m² vs 250-6000): Клуб самбо"
18657182,added,1138,2025-09,medium,"ПреАмбула, детский медицинский центр | Автокурс, автолицей",
18667603,added,1103,2025-09,medium,"Чижик, супермаркет",
18688680,added,1107,2025-09,medium,"Party Dog, студия груминга | Icbt, международная школа бизнес тренеров","IMPLAUSIBLE: Жилищник Пресненского района, ОДС №11 (Жилищно-коммунальные услуги -> Диспетчерские службы)"
18689653,added,1113,2025-09,medium,"Фармленд, аптека | Вкусно как дома, кафе | Магнит Маркет, пункт выдачи заказов",
18691665,added,1106,2025-09,medium,"Складно, компания",
18692222,added,1105,2025-09,medium,"Cosmetology , кабинет косметолога | Массаж и всё, студия",
18700222,added,1100,2025-09,medium,"Первым делом, минимаркет | RHotel4, отель | TPO&EPDM, компания",
18701614,added,1100,2025-09,medium,"Ресурсный центр для инвалидов, пункт выдачи технических средств реабилитации | Московский городской центр реабилитации, филиал Западный",
18730637,added,1068,2025-09,medium,"DM nails, студия маникюра",
18747267,added,1068,2025-09,medium,"Мираторг, супермаркет | Складно, компания",
18753108,added,1047,2025-09,medium,"Louve, магазин женской одежды | Сорса, торговый дом",
18754570,added,1056,2025-09,medium,"The Dar Store, компания | Метода Pivot Point, академия парикмахерского искусства",
18778371,added,1021,2025-09,medium,"Красное&Белое, продуктовый магазин",
18779649,added,1019,2025-09,medium,Бытмебель,"IMPLAUSIBLE: Единая Россия, политическая партия (Общественные / политические организации -> Политические парт)"
18779876,added,1019,2025-09,medium,"Рекламные очки, торговая компания | Ozon",
18780018,added,1019,2025-09,medium,"Ароматный мир, винный супермаркет | Винлаб, супермаркет напитков | Lamoda, пункт примерки и выдачи заказов",
18783696,added,1034,2025-09,medium,"Ozon fresh, служба доставки продуктов | Ozon | Wildberries, пункт выдачи интернет-заказов",
18783744,added,1033,2025-09,medium,Неодром,
18783759,added,1034,2025-09,medium,"Стоматология Семейных Скидок, клиника | Freshdom, магазин",
18784292,all_filtered,1033,2025-09,,,"AREA(241m² vs 250-6000): Showme.Pilates || AREA(241m² vs 250-6000): Академия марафона, беговой клуб"
18785021,added,1034,2025-09,medium,Институт практической нейропсихологии и нейрореабилитации | Центр практической нейропсихологии,
18788662,added,1033,2025-09,medium,"Столички, аптека",
18788666,added,1033,2025-09,medium,"Столички, аптека",
18790743,added,1023,2025-09,medium,"Ozon | Авито, пункт выдачи заказов",
18791125,added,1023,2025-09,medium,"Иол Медикал, компания | Пиво есть!, магазин пива",
18791706,added,1027,2025-09,medium,"Brand Service | Складно, компания | Ozon",
18791902,all_filtered,1027,2025-09,,,"IMPLAUSIBLE: Живая вода, водомат (Напитки -> Питьевая вода)"
18792003,added,1027,2025-09,medium,"Красное&Белое, продуктовый магазин",
18797178,added,1026,2025-09,medium,"Ozon fresh, служба доставки продуктов","AREA(1029m² vs 5-480): Ozon || AREA(1029m² vs 5-480): Wildberries, пункт выдачи интернет-заказов"
18803323,added,1019,2025-09,medium,"Ventus aqua, зоомагазин | Рокитсофт, компания",
18805470,added,1016,2025-09,medium,Неодром,
18809811,added,1013,2025-09,medium,"София, эконом-парикмахерская | Ozon",
18814084,added,1015,2025-09,medium,"улица Машкова, 21 | Gog, кофейня",
