номер_лота,площадь_м²,этаж,confidence,source,status,orig_company,new_company,dropped,drop_reasons
18421800,84.2,1,medium,gap_snapshot_2022-05,unchanged,Аптека-эконом | Семейные традиции | Магазин табачной продукции,Аптека-эконом | Семейные традиции | Магазин табачной продукции,,
18460267,97.4,1,medium,gap_snapshot_2022-12,unchanged,Физкультура и спорт,Физкультура и спорт,,
18460585,194.1,1,medium,gap_snapshot_2022-12,unchanged,Полюса,Полюса,,
18486140,290.0,Подвал,high,gap_snapshot_2022-01,unchanged,Artremonts,Artremonts,,
18486174,139.2,1,high,gap_snapshot_2022-01,unchanged,Ozon,Ozon,,
18489764,120.2,Подвал,medium,gap_snapshot_2022-05,unchanged,Ozon | Wildberries,Ozon | Wildberries,,
18502433,155.4,Подвал,medium,gap_snapshot_2022-08,filtered_candidates,Tory club | Еврохолод,Еврохолод,Tory club,AREA_MISMATCH(155m² vs 250-6000 for Спорт): Tory club
18507088,975.9,"Подвал, 1, 2",high,gap_snapshot_2022-05,unchanged,Землемер,Землемер,,
18509729,245.3,Подвал,high,gap_snapshot_2022-05,unchanged,Хмель&солод,Хмель&солод,,
18515891,74.8,Подвал,high,gap_snapshot_2022-01,unchanged,Artremonts,Artremonts,,
18518658,89.9,Подвал,high,gap_snapshot_2022-05,unchanged,Институт психологии и психосоматической терапии,Институт психологии и психосоматической терапии,,
18520718,171.9,Подвал,medium,gap_snapshot_2022-05,unchanged,Эльд | Марфино,Эльд | Марфино,,
18524209,231.6,Подвал,high,gap_snapshot_2022-12,unchanged,Средняя общеобразовательная школа №7 с дошкольным отделением,Средняя общеобразовательная школа №7 с дошкольным отделением,,
18524219,338.9,Подвал,medium,gap_snapshot_2022-08,unchanged,Ригла | Пятёрочка | Восточные сладости,Ригла | Пятёрочка | Восточные сладости,,
18526293,291.4,1,medium,gap_snapshot_2022-05,unchanged,Нотариусы Гимкаева Н.И. и Далиева Л.П. | Московский Центр Переводов | Адвокатский кабинет Юсупова Ф.М.,Нотариусы Гимкаева Н.И. и Далиева Л.П. | Московский Центр Переводов | Адвокатский кабинет Юсупова Ф.М.,,
18529797,189.0,1,medium,gap_snapshot_2022-05,unchanged,Кофейня | Milano,Кофейня | Milano,,
18529801,328.5,1,medium,gap_snapshot_2022-05,unchanged,Кофейня | Milano,Кофейня | Milano,,
18532843,1332.6,"Подвал, 1, 2",high,gap_snapshot_2022-12,unchanged,Авоська,Авоська,,
18534678,140.8,1,high,gap_snapshot_2022-08,unchanged,Coffee major,Coffee major,,
18534846,44.1,1,high,gap_snapshot_2022-05,unchanged,Smiling master,Smiling master,,
18536707,144.2,Подвал,medium,gap_snapshot_2022-12,unchanged,Lorange | Dpsp studio epilier | Wildberries,Lorange | Dpsp studio epilier | Wildberries,,
18539152,198.9,Подвал,medium,gap_snapshot_2022-05,filtered_candidates,Lunara | Академия детского мюзикла | Inside,Lunara | Академия детского мюзикла,Inside,AREA_MISMATCH(199m² vs 250-6000 for Спорт): Inside
18539971,233.0,1,high,gap_snapshot_2022-12,unchanged,Почта России,Почта России,,
18541726,130.2,1,medium,gap_snapshot_2022-12,unchanged,Магнит | Красное&Белое | Ozon,Магнит | Красное&Белое | Ozon,,
18543302,60.0,1,medium,gap_snapshot_2022-08,unchanged,Самокат,Самокат,,
18555368,385.6,Подвал,high,gap_snapshot_2022-05,unchanged,Хмель&солод,Хмель&солод,,
18559831,43.6,"Подвал, 1",medium,gap_snapshot_2022-05,unchanged,Смирнов Диджитал | АвтоШиномонтаж,Смирнов Диджитал | АвтоШиномонтаж,,
18559903,202.2,1,high,gap_snapshot_2022-08,unchanged,Пятёрочка,Пятёрочка,,
18560098,357.7,1,medium,gap_snapshot_2022-05,unchanged,Кофейня | Milano,Кофейня | Milano,,
18569627,48.9,Подвал,medium,gap_snapshot_2022-08,unchanged,Дикси | Фортуна,Дикси | Фортуна,,
18574941,69.1,1,high,gap_snapshot_2022-08,unchanged,Wildberries,Wildberries,,
18574962,33.9,1,medium,gap_snapshot_2022-12,unchanged,Мой новый дом | Ozon,Мой новый дом | Ozon,,
18574964,58.4,1,medium,gap_snapshot_2022-12,unchanged,Мой новый дом | Ozon,Мой новый дом | Ozon,,
18575249,104.7,Подвал,medium,gap_snapshot_2022-12,filtered_candidates,Библиотека №118 им. В.Н.Соколова | Юго-Восток | Лингвитания,Библиотека №118 им. В.Н.Соколова | Лингвитания,Юго-Восток,AREA_MISMATCH(105m² vs 250-6000 for Спорт): Юго-Восток
18576173,1519.6,"Подвал, 1",medium,gap_snapshot_2022-05,filtered_candidates,Служба вскрытия и замены замков | Cainiao,Служба вскрытия и замены замков,Cainiao,AREA_MISMATCH(1520m² vs 5-480 for Пунк выдачи): Cainiao
18576243,264.0,Подвал,high,gap_snapshot_2022-12,unchanged,Wildberries,Wildberries,,
18578846,153.1,1,high,gap_snapshot_2022-08,unchanged,Свобода,Свобода,,
18579124,242.3,"Подвал, 1",medium,gap_snapshot_2022-05,unchanged,Ozon | Wildberries,Ozon | Wildberries,,
18579518,59.0,Подвал,high,gap_snapshot_2022-08,unchanged,Ma&Mi,Ma&Mi,,
18583796,232.2,Подвал,medium,gap_snapshot_2022-12,unchanged,Додо Пицца | КуулКлевер Мясновъ Отдохни,Додо Пицца | КуулКлевер Мясновъ Отдохни,,
18585447,187.5,1,high,gap_snapshot_2022-12,unchanged,Винлаб,Винлаб,,
18585449,104.2,1,high,gap_snapshot_2022-12,unchanged,Винлаб,Винлаб,,
18589425,153.7,Подвал,medium,gap_snapshot_2022-08,unchanged,Simplewine | Горздрав,Simplewine | Горздрав,,
18608682,59.0,Подвал,medium,gap_snapshot_2022-12,unchanged,Хвостик | Фортуна,Хвостик | Фортуна,,
18634004,308.1,1,high,gap_snapshot_2022-12,unchanged,Гефест-Аларм,Гефест-Аларм,,
18636275,99.8,Подвал,medium,gap_snapshot_2022-08,unchanged,Цветком,Цветком,,
18642241,52.6,1,medium,gap_snapshot_2022-12,unchanged,Ozon,Ozon,,
18642242,110.2,1,medium,gap_snapshot_2022-12,unchanged,Ozon,Ozon,,
18642261,70.8,1,medium,gap_snapshot_2022-12,unchanged,Ozon,Ozon,,
18651178,150.5,1,high,gap_snapshot_2022-12,unchanged,Стоматологическая клиника Доктора Кудрявцева,Стоматологическая клиника Доктора Кудрявцева,,
18652655,26.2,Подвал,high,,cleared,Центр Вадо,,Центр Вадо,AREA_MISMATCH(26m² vs 250-6000 for Спорт): Центр Вадо
18672162,220.8,Подвал,medium,gap_snapshot_2022-12,unchanged,Здравсити | Дамбо,Здравсити | Дамбо,,
18683648,229.2,Подвал,medium,gap_snapshot_2022-12,unchanged,3dplemya | Средняя общеобразовательная школа №7 с дошкольным отделением | Exist.ru,3dplemya | Средняя общеобразовательная школа №7 с дошкольным отделением | Exist.ru,,
18686843,53.3,Подвал,medium,gap_snapshot_2022-12,unchanged,Cool 360 Price | Столички | Subway,Cool 360 Price | Столички | Subway,,
18689653,216.8,Подвал,high,gap_snapshot_2022-12,unchanged,Плов,Плов,,
18695296,19.4,"1 этаж, 1",high,gap_snapshot_2022-12,unchanged,Объект,Объект,,
18700868,463.2,"1, 2",medium,gap_snapshot_2022-12,unchanged,Икорный | Табачный,Икорный | Табачный,,
18700951,276.4,Подвал,medium,gap_snapshot_2022-12,unchanged,Ателье на Обручева | Rotary master,Ателье на Обручева | Rotary master,,
18702348,127.7,1,high,gap_snapshot_2022-12,unchanged,Wildberries,Wildberries,,
18710278,179.4,Подвал,medium,gap_snapshot_2022-12,filtered_candidates,Багира | Гост | Столички,Гост | Столички,Багира,"AREA_MISMATCH(179m² vs 5-160 for Салоны красоты, барбершопы, парикмахерские): Багира"
18719169,30.4,1,medium,gap_snapshot_2022-12,unchanged,Соната клиник | ГОРЗДРАВ | Glowsubs sandwiches,Соната клиник | ГОРЗДРАВ | Glowsubs sandwiches,,
18730608,42.3,Подвал,medium,gap_snapshot_2022-12,unchanged,Восточное Измайлово,Восточное Измайлово,,
18747306,134.3,Подвал,high,gap_snapshot_2022-12,unchanged,Wildberries,Wildberries,,
18747465,227.5,Подвал,high,gap_snapshot_2022-12,unchanged,МРП №61,МРП №61,,
18751852,27.4,Подвал,high,gap_snapshot_2022-12,unchanged,Московская служба психологической помощи населению,Московская служба психологической помощи населению,,
18754081,16.1,1,high,gap_snapshot_2022-12,unchanged,Alice`s,Alice`s,,
18762177,66.2,1,high,gap_snapshot_2022-12,unchanged,Ozon,Ozon,,
18762185,50.3,1,high,gap_snapshot_2022-12,unchanged,Ozon,Ozon,,
18766255,27.3,Подвал,high,gap_snapshot_2022-12,unchanged,Монолит,Монолит,,
18777321,129.2,2 этаж и выше,medium,gap_snapshot_2022-12,unchanged,Мигсервис | EVITA | Ломоносовъ,Мигсервис | EVITA | Ломоносовъ,,
18778929,129.6,1 этаж,medium,gap_snapshot_2022-12,unchanged,Магазин быстрого питания,Магазин быстрого питания,,
18784207,201.9,1,high,gap_snapshot_2022-12,unchanged,Магазин-ателье,Магазин-ателье,,
18784636,74.4,1,medium,gap_snapshot_2022-12,unchanged,Мослифт | Столички,Мослифт | Столички,,
18785888,27.4,1 этаж,high,gap_snapshot_2022-12,unchanged,ГОРЗДРАВ,ГОРЗДРАВ,,
18786149,74.1,1,high,gap_snapshot_2022-12,unchanged,Генез,Генез,,
18790555,96.9,Подвал,medium,gap_snapshot_2022-12,unchanged,Акуловка | KDL | Самая вкусная шаурма,Акуловка | KDL | Самая вкусная шаурма,,
