lot_id,status,candidates_total,candidates_valid,companies,dropped
18460639,added,3,2,"Carbonus, интернет-магазин | Авто-заказ, магазин автозапчастей","Родник, дом быта [area]"
18583796,added,6,5,"Додо Пицца, сеть пиццерий | ПомПон Чик, груминг-салон | Багет & Рама, багетная мастерская","GREEN LIME, салон красоты [area]"
18592745,added,1,1,"Оптикмолл, салон оптики",
18594300,added,4,4,"Управа Савеловского района | Магазин табачной продукции | ГончаровЪ, арт-кафе",
18594311,added,3,3,"Wooder Group, компания по производству деревянных окон | Вкус №1, магазин | Школа №56 им. академика В.А. Легасова",
18594504,added,4,4,"Астратек, интернет-магазин | Зеленая гавань, мини-маркет | Акварель, школа английского языка",
18595195,added,1,1,"Личность, центр досуга",
18597706,added,2,1,Адвокатский кабинет Осадчук Е.В.,"Здравсити, сеть аптек [area]"
18599263,added,13,13,"Мотт МакДональд Р, консалтинговая компания | Адвокатский кабинет Сперанского М.М. | Icape, оптовая компания",
18600842,added,18,18,"Дайвхобби, магазин товаров для подводного плавания | На Тульской, офисный центр | Ct relocation",
18609263,added,3,3,"СберБанк | Нотариус Молокова Н.В. | СберСтрахование, страховая компания",
18609421,added,7,7,"Защита, страховой агент | Лазер Луч, торгово-производственная компания | Ласточка Персонал, кадровое агентство",
18609581,added,6,6,"Ателье | Лефортово, военторг | Информационные Таможенные Технологии",
18613154,added,6,5,"Видео Эмоушен, компания | Бумагалэнд, торговая компания | Лэганс, юридическая фирма","Спецснаб, торговый дом [area]"
18617519,added,1,1,Big business cleaning,
18624066,added,3,3,"Немецкий Имплантологический Центр | Aurrum, галерея интерьеров | Multi-labs, сервисный центр",
18626850,added,19,19,"Whipsy Underground Beauty | Музей-квартира Александра Солженицына | Mansilion hotel, мини-отель",
18627150,added,3,3,"Управление административными зданиями, Министерство науки и высшего образования РФ | Министерство науки и высшего образования РФ | Музей-квартира В.Э. Мейерхольда, Государственный центральный театральный музей им. Бахрушина А.А.",
18633552,added,8,8,"Grace studio, студия эпиляции | ПАМЯТЬ М, компания по изготовлению памятников | Светмаркет ГБ",
18634007,added,33,33,"ПереводоФ, бюро переводов | Fashion Life, шоурум | BodyLab, студия эстетики тела",
18634766,added,6,6,"Hi-Fi Club, магазин электроники | LightInstall, компания | Цитадель Эссетс Менеджмент, управляющая компания",
18636229,added,2,2,"ЕДИНСТВО, классический театр | Адвокатское партнерство, Московская коллегия адвокатов",
18636266,added,3,3,"Магазин табачной продукции | Золотая Корона, система платежных сервисов | Росинка, книжный магазин",
18636845,added,4,4,"Управа Савеловского района | Магазин табачной продукции | ГончаровЪ, арт-кафе",
18640122,added,1,1,Самокат,
18642432,added,4,2,"Золотые ручки, ателье | Пожбезопасность, монтажная компания","Power-Style, студия персонального тренинга и массажа [area] | Спорт Плюс, спортивно-досуговый центр [area]"
