name,category,url,area_min_m2,area_max_m2,floor,ceiling_height_m,electricity_kw,signage,separate_entrance,restroom,restrictions,contacts_email,raw_requirements
КРАСНОЕ И БЕЛОЕ,Алкомаркеты,/kb.php,80.0,400.0,первый этаж,2.5,,False,True,False,"не должны находиться детские, образовательные учреждения, спортивные сооружения или учрежден",razvitie@krasnoe-beloe.ru,"В радиусе 100 метров от объектов не должны находиться детские, образовательные учреждения, спортивные сооружения или учреждения здравоохранения. Площадь от 80 до 400 кв.м. Торговый зал не менее 70 кв.м. Высота потолков не ниже 2,5 м."
БРИСТОЛЬ,Алкомаркеты,/bristol.php,100.0,150.0,на 1-ом этаж,,15.0,True,True,False,,support@retailstreets.ru,"Спальные и густонаселенные районы; Стационарное помещение, имеющее кадастровый адрес; Нахождение на 1-ом этаже жилого дома, торгового центра, или отдельно стоящее здание; Минимальный срок аренды – от 1 (Одного) года; Не рассматриваются помещения на территориях и в помещениях железнодорожных вокзалов, автовокзалов, аэропортов, речных портов, на оптовых и розничных рынках, в организациях культуры, в медицинских организациях, на объектах спорта, на прилегающих к ним территориях. Определение прилегающей территории регламентируется местными законодательными актами; Помещение должно находиться на расстоянии не менее чем 100 (Сто) метров по прямой линии от ближайшей точки, граничащей с территорией, предназначенной для оказания образовательных услуг; Ориентировочная площадь: от 100 до 150 кв.м; Желателен однообъемный торговый зал; в случае планировки на несколько комнат, основной торговый зал должен быть не менее 40 кв. м.; Высота потолка – не менее 2,5 метров; Помещение должно хорошо просматриваться с проезжей части и пешеходной зоны; Наличие подъездных путей к входу магазина для автомобиля типа «Газель»; Хороший пешеходный и автомобильный трафик; Разрешенная электрическая нагрузка – не менее 15 кВт; Возможность установки кондиционера; Возможность организации наружной рекламы непосредственно на фасаде магазина; Автопарковка возле магазина является дополнительным преимуществом; Желательно нахождение вблизи популярного гипер- или супермаркета или других трафикообразущих объектов; К рассмотрению принимаются только помещения, изначально имеющие назначение как нежилое."
ВИНЛАБ,Алкомаркеты,/winelab.php,50.0,,первый этаж,,,False,True,False,,arenda@winelab.ru,"Площадь: от 80 до 300 квадратных метров Ключевые регионы: Москва и Московская область, Санкт-Петербург и Ленинградская область, Архангельская область, Нижний Новгород, Новосибирская область, Кемеровская область, Амурская область, Хабаровский край, Приморский край, Сахалинская область. Только первый этаж Возможность получения алкогольной лицензии"
АРОМАТНЫЙ МИР,Алкомаркеты,/aroma.php,60.0,140.0,первый этаж,,15.0,True,True,False,,dzhabarov@aroma.ru,"Площадь помещения — от 60 до 140 кв. м. Первая линия; Правильная (открытая) планировка зала (желательно) площадью не менее 40 кв. м. (допустимо два зала); Витринные окна (желательно); Разрешенная электрическая нагрузка не менее 15 КВт, трехфазный ввод; Высота потолка не менее 2,5 м; Наличие жилого сектора; Хороший обзор помещения со стороны проезжей части или с пешеходной зоны; Отсутствие детских образовательных учреждений, спортивных сооружений или учреждений здравоохранения в радиусе 50-ти метров от объекта; Автомобильная парковка перед помещением (желательно); Хороший пешеходный трафик; Длительный договор аренды (сроком от 5 лет); Обязательная регистрация договора в ФРС."
МИЛЬСТРИМ,Алкомаркеты,/millstream.php,60.0,110.0,первый этаж,,,False,True,False,,arenda@millstream-wines.ru,"Первая линия домов, первый этаж. Площадь 60-110 кв.м. Хорошая видимость, возможность размещения рекламы"
ГРАДУСЫ,Алкомаркеты,/graducy.php,100.0,,,,,False,True,False,,v.baranov@gradusi.net,Площадь помещения от 100 м2. Возможность получения алкогольной лицензии
WINESTYLE,Алкомаркеты,/winestyle.php,70.0,,,,,False,True,False,,arenda@winestyle.ru,"Регионы присутствия: Москва, Московская область Торговая площадь от 70 кв.м Высота потолков не менее 2,5 м Долгосрочная аренда 5 лет Удаленность от детских и образовательных учреждений на 100 м и более Удаленность от спортивных объектов и от медицинских учреждений на 25 м и более"
SIMPLE WINE,Алкомаркеты,/simplewine.php,70.0,110.0,первый этаж,,,True,True,False,,support@retailstreets.ru,"Москва, Московская область, Санкт Петербург, Сочи, Ростов-на-Дону, Краснодар, Екатеринбург, Новосибирск Площадь от 70 до 110 м2, исключительно первый этаж Возможность размещения рекламных баннеров на витринном пространстве, фасадах, панель-кронштейнах"
WINE STYLE,Алкомаркеты,/winestyle.php,70.0,,,,,False,True,False,,arenda@winestyle.ru,"Регионы присутствия: Москва, Московская область Торговая площадь от 70 кв.м Высота потолков не менее 2,5 м Долгосрочная аренда 5 лет Удаленность от детских и образовательных учреждений на 100 м и более Удаленность от спортивных объектов и от медицинских учреждений на 25 м и более"
БУТЫЛЬ,Алкомаркеты,/butyl.php,70.0,200.0,,,,False,True,False,,support@retailstreets.ru,Регион присутствия: Калининградская область площадь от 70 до 200 м2
