Признак,Тип,Пропуски,Уникальных,Топ,Корреляция,Медиана,Min,Max
dataset,Категориальный,0,1,completed,N/A,,,
площадь_м²,Числовой,0,1260,,-0.070,102.45,2.00,9097.40
начальная_цена_руб,Числовой,0,1864,,-0.092,18899500.00,164825.00,530743800.00
цена_за_м2_calc,Числовой,0,1901,,0.060,198181.01,4750.00,2140408.16
округ,Категориальный,0,13,ВАО,N/A,,,
этаж_кат,Категориальный,0,12,1,N/A,,,
этажность,Числовой,0,32,,0.002,15.00,1.00,48.00
тип_входа,Категориальный,0,4,Отдельный,N/A,,,
наличие_метро,Числовой,0,2,,0.001,1.00,0.00,1.00
время_до_метро,Числовой,0,72,,-0.049,7.00,0.00,342.00
расстояние_до_центра,Числовой,84,885,,-0.052,12.13,0.83,1072.73
расстояние_до_центра_округа,Числовой,84,896,,-0.047,6.70,0.24,1080.51
latitude,Числовой,84,885,,0.000,55.76,54.81,59.85
longitude,Числовой,84,885,,0.000,37.59,20.53,37.95
год_торгов,Числовой,0,2,,0.000,2025.00,2025.00,2026.00
статус,Категориальный,0,1,Завершено,N/A,,,
log_площадь,Числовой,0,1260,,-0.113,4.64,1.10,9.12
log_цена_за_м2,Числовой,0,1901,,0.051,12.20,8.47,14.58
этаж_группа,Категориальный,0,5,floor_1,N/A,,,
is_floor_floor_1,Числовой,0,2,,0.000,1.00,0.00,1.00
is_floor_basement,Числовой,0,2,,0.000,0.00,0.00,1.00
is_floor_other,Числовой,0,2,,0.000,0.00,0.00,1.00
is_floor_floor_3_plus,Числовой,0,2,,0.000,0.00,0.00,1.00
is_floor_floor_2,Числовой,0,2,,0.000,0.00,0.00,1.00
is_small_area,Числовой,0,2,,0.096,0.00,0.00,1.00
is_center,Числовой,0,2,,0.054,0.00,0.00,1.00
metro_zone,Категориальный,0,3,0-5,N/A,,,
price_category,Категориальный,0,3,expensive,N/A,,,
area_per_metro,Числовой,0,1710,,-0.038,12.49,0.06,9097.40
price_density,Числовой,0,1904,,-0.046,2488780.82,73435.61,252992835.00
