url,номер_лота,площадь_м²,начальная_цена_руб,цена_за_м²,размер_задатка_руб,шаг_аукциона_руб,итоговая_цена_руб,превышение_цены_%,адрес,кадастровый_номер,метро,этаж,этажность,функциональное_назначение,тип_входа,форма_проведения,год_торгов,статус,дата_начала_приёма,дата_окончания_приёма,дата_отбора_участников,дата_проведения_торгов,дата_подведения_итогов,platformLink,ссылка_на_протокол
https://investmoscow.ru/tenders/tender/18626850,18626850,98.4,28677000.0,291432.93,"5 735 400,00 руб.","1 433 850,00 руб.","34412400,00",20.0%,"Центральный административный округ, Тверской, Российская Федерация, город Москва, внутригородская территория муниципальный округ Тверской, Тверская улица, дом 12, строение 8, Этаж № 1",77:01:0001077:3005,Чеховская (5 мин),1,6,,Вход через подъезд,Открытый аукцион в электронной форме,2022,Завершено,02.06.2022 20:00:00,06.07.2022 15:00:00,13.07.2022 10:00,15.07.2022 10:00,15.07.2022 17:00,https://178fz.roseltorg.ru/#com/procedure/view/procedure/395810,
https://investmoscow.ru/tenders/tender/18672162,18672162,220.8,14262000.0,64592.39,"2 852 400,00 руб.","356 550,00 руб.","7131000,00",-50.0%,"Юго-Восточный административный округ, Рязанский, Российская Федерация, город Москва, внутригородская территория муниципальный округ Рязанский, 1-я Новокузьминская улица, дом 27/12, подвал № 0",77:04:0002013:11237,Рязанский проспект (5 мин),Подвал,5,,Вход через подъезд,Публичное предложение,2022,Завершено,19.07.2022 20:00:00,24.08.2022 15:00:00,31.08.2022 10:00,02.09.2022 10:00,02.09.2022 17:00,https://178fz.roseltorg.ru/#com/procedure/view/procedure/400396,
https://investmoscow.ru/tenders/tender/18623088,18623088,220.8,14262000.0,64592.39,"2 852 400,00 руб.","713 100,00 руб.",,,"Юго-Восточный административный округ, Рязанский, Российская Федерация, город Москва, внутригородская территория муниципальный округ Рязанский, 1-я Новокузьминская улица, дом 27/12, подвал № 0",77:04:0002013:11237,Рязанский проспект (5 мин),Подвал,5,,Вход через подъезд,Открытый аукцион в электронной форме,2022,Завершено,25.05.2022 20:00:00,28.06.2022 15:00:00,05.07.2022 10:00,07.07.2022 10:00,07.07.2022 17:00,https://178fz.roseltorg.ru/#com/procedure/view/procedure/394853,
https://investmoscow.ru/tenders/tender/19338864,19338864,74.7,8631000.0,115542.17,"863 100,00 руб.","431 550,00 руб.",,,"Юго-Западный административный округ, Южное Бутово, Изюмская улица, дом 39, корпус 1, Этаж № 1",77:06:0012001:9182,Улица Скобелевская (10 мин),1 этаж,14,,Отдельный,Открытый аукцион в электронной форме,2023,Завершено,04.10.2023 20:00:00,08.11.2023 15:00:00,15.11.2023 10:00,17.11.2023 10:00,17.11.2023 17:00,https://www.roseltorg.ru/procedure/21000005000000015736,
https://investmoscow.ru/tenders/tender/18918081,18918081,59.7,11853730.0,198554.94,"1 185 373,00 руб.","296 343,25 руб.",,,"Юго-Восточный административный округ, Лефортово, Российская Федерация, город Москва, внутригородская территория муниципальный округ Лефортово, Авиамоторная улица, дом 22/12, Этаж № 1",77:03:0004012:1784,Авиамоторная (4 мин),1,6,,Вход через места общего пользования,Публичное предложение,2023,Завершено,08.02.2023 20:00:00,14.03.2023 15:00:00,21.03.2023 10:00,23.03.2023 10:00,23.03.2023 17:00,https://www.roseltorg.ru/procedure/21000005000000008044,
https://investmoscow.ru/tenders/tender/18811633,18811633,59.7,11853730.0,198554.94,"2 370 746,00 руб.","592 686,50 руб.",,,"Юго-Восточный административный округ, Лефортово, Российская Федерация, город Москва, внутригородская территория муниципальный округ Лефортово, Авиамоторная улица, дом 22/12, Этаж № 1",77:03:0004012:1784,Авиамоторная (4 мин),1,6,,Вход через места общего пользования,Открытый аукцион в электронной форме,2022,Завершено,11.11.2022 20:00:00,13.12.2022 15:00:00,20.12.2022 10:00,22.12.2022 10:00,22.12.2022 17:00,https://www.roseltorg.ru/procedure/21000005000000005491,
https://investmoscow.ru/tenders/tender/18612671,18612671,59.7,10860000.0,181909.55,"2 172 000,00 руб.","543 000,00 руб.","22263000,00",105.0%,"Юго-Восточный административный округ, Лефортово, Российская Федерация, город Москва, внутригородская территория муниципальный округ Лефортово, Авиамоторная улица, дом 22/12, Этаж № 1",77:03:0004012:1784,Авиамоторная (4 мин),1,6,,Вход через места общего пользования,Открытый аукцион в электронной форме,2022,Завершено,24.05.2022 20:00:00,28.06.2022 15:00:00,05.07.2022 10:00,07.07.2022 10:00,07.07.2022 17:00,https://178fz.roseltorg.ru/#com/procedure/view/procedure/394759,
https://investmoscow.ru/tenders/tender/19243835,19243835,68.0,7921000.0,116485.29,"792 100,00 руб.","396 050,00 руб.","14257800,00",80.0%,"Северо-Западный административный округ, Куркино, Новокуркинское шоссе, дом 23/15, Этаж № 1",77:08:0001009:6760,Планерная (66 мин),1,20,,Отдельный,Открытый аукцион в электронной форме,2023,Завершено,14.08.2023 20:00:00,14.09.2023 15:00:00,21.09.2023 10:00,25.09.2023 10:00,25.09.2023 17:00,https://www.roseltorg.ru/procedure/21000005000000014587,
https://investmoscow.ru/tenders/tender/18915505,18915505,67.7,10460000.0,154505.17,"1 046 000,00 руб.","261 500,00 руб.","9152500,00",-12.5%,"Юго-Восточный административный округ, Лефортово, Российская Федерация, город Москва, внутригородская территория муниципальный округ Лефортово, улица Пруд-Ключики, дом 5, Этаж № 1",77:04:0001017:4420,Авиамоторная (4 мин),1 этаж,6,,Вход через места общего пользования,Публичное предложение,2023,Завершено,08.02.2023 20:00:00,14.03.2023 15:00:00,21.03.2023 10:00,23.03.2023 10:00,23.03.2023 17:00,https://www.roseltorg.ru/procedure/21000005000000008048,
https://investmoscow.ru/tenders/tender/18822775,18822775,67.7,10460000.0,154505.17,"2 092 000,00 руб.","523 000,00 руб.",,,"Юго-Восточный административный округ, Лефортово, Российская Федерация, город Москва, внутригородская территория муниципальный округ Лефортово, улица Пруд-Ключики, дом 5, Этаж № 1",77:04:0001017:4420,Авиамоторная (4 мин),1 этаж,6,,Вход через места общего пользования,Открытый аукцион в электронной форме,2022,Завершено,18.11.2022 20:00:00,19.12.2022 15:00:00,21.12.2022 10:00,23.12.2022 10:00,23.12.2022 17:00,https://www.roseltorg.ru/procedure/21000005000000005743,
