url,номер_лота,площадь_м²,начальная_цена_руб,цена_за_м²,размер_задатка_руб,шаг_аукциона_руб,итоговая_цена_руб,превышение_цены_%,адрес,кадастровый_номер,метро,этаж,этажность,функциональное_назначение,тип_входа,форма_проведения,год_торгов,статус,дата_начала_приёма,дата_окончания_приёма,дата_отбора_участников,дата_проведения_торгов,дата_подведения_итогов,platformLink,ссылка_на_протокол,latitude,longitude,????????_????????_????,????????_????_????????????
https://investmoscow.ru/tenders/tender/17215210,17215210,57.3,4062000.0,70890.05,"812 400,00 руб.","203 100,00 руб.",,,"Юго-Восточный административный округ, Марьино, Российская Федерация, город Москва, внутригородская территория муниципальный округ Марьино, улица Нижние Поля, дом 29, строение 1, Этаж № 2",77:04:0004018:1611,Братиславская (18 мин),2,3.0,,Вход через подъезд,Открытый аукцион в электронной форме,2022,Завершено,24.06.2022 20:00:00,28.07.2022 15:00:00,04.08.2022 10:00,08.08.2022 10:00,08.08.2022 17:00,https://178fz.roseltorg.ru/#com/procedure/view/procedure/397907,,55.6569214,37.7309093,missing,false
https://investmoscow.ru/tenders/tender/18299245,18299245,312.3,13062000.0,41825.17,"2 612 400,00 руб.","653 100,00 руб.",,,"Северный административный округ, Восточное Дегунино, город Москва, Дубнинская улица, дом 4, корпус 1, Подвал № 0",77:02:0001019:1315,Верхние Лихоборы (8 мин),Подвал,9.0,,Вход через подъезд,Открытый аукцион в электронной форме,2022,Завершено,26.11.2021 20:00:00,19.01.2022 15:00:00,26.01.2022 10:00,28.01.2022 10:00,28.01.2022 17:00,https://178fz.roseltorg.ru/#com/procedure/view/procedure/381565,,55.857656,37.569233,missing,false
https://investmoscow.ru/tenders/tender/18335545,18335545,107.8,11484000.0,106530.61,"2 296 800,00 руб.","574 200,00 руб.","12058200,00",5.0%,"г. Москва, ул. Сухонская, Дом 11, Этаж №1, Этаж №1",77:02:0004008:4809,Медведково (13 мин),1,16.0,,nsi:1032:9001302,Открытый аукцион в электронной форме,2022,Завершено,29.12.2021 20:00:00,15.02.2022 15:00:00,17.02.2022 10:00,22.02.2022 10:00,22.02.2022 17:00,https://178fz.roseltorg.ru/#com/procedure/view/procedure/385152,,55.8783089,37.6537862,page,false
https://investmoscow.ru/tenders/tender/18337692,18337692,17.8,2671000.0,150056.18,"534 200,00 руб.","133 550,00 руб.","4807800,00",80.0%,"Южный административный округ, Бирюлево Восточное, Российская Федерация, город Москва, внутригородская территория муниципальный округ Бирюлево Восточное, Загорьевский проезд, дом 9, корпус 1, Этаж № 1",77:05:0010004:30563,Царицыно (75 мин),1,1.0,,Вход через подъезд,Открытый аукцион в электронной форме,2022,Завершено,09.11.2021 20:00:00,04.02.2022 15:00:00,09.02.2022 10:00,11.02.2022 10:00,11.02.2022 17:00,https://178fz.roseltorg.ru/#com/procedure/view/procedure/379384,,55.5740394,37.6689853,page,false
https://investmoscow.ru/tenders/tender/18351262,18351262,492.8,17990000.0,36505.68,"3 598 000,00 руб.","449 750,00 руб.","16191000,00",,"Восточный административный округ, Соколиная гора, город Москва, Лечебная улица, дом 1/36, Подвал № 0",77:03:0003019:7641,Измайлово (9 мин),Подвал,5.0,,Вход через места общего пользования,Публичное предложение,2022,Завершено,19.11.2021 21:00:00,11.01.2022 15:00:00,18.01.2022 10:00,20.01.2022 10:00,20.01.2022 17:00,https://178fz.roseltorg.ru/#com/procedure/view/procedure/380724,,55.790385,37.733051,page,false
https://investmoscow.ru/tenders/tender/18356371,18356371,159.7,5425000.0,33969.94,"1 085 000,00 руб.","271 250,00 руб.","5967500,00",10.0%,"Восточный административный округ, Соколиная гора, город Москва, 5-я улица Соколиной Горы, дом 16, корпус 2, подвал № 0",77:03:0004007:11891,Шоссе Энтузиастов (10 мин),Подвал,5.0,,Вход через места общего пользования,Открытый аукцион в электронной форме,2022,Завершено,23.12.2021 20:00:00,03.02.2022 15:00:00,10.02.2022 10:00,14.02.2022 10:00,14.02.2022 17:00,https://178fz.roseltorg.ru/#com/procedure/view/procedure/384668,,55.7633769,37.7389236,page,false
https://investmoscow.ru/tenders/tender/18358914,18358914,164.1,11819000.0,72023.16,"2 363 800,00 руб.","590 950,00 руб.",,,"Юго-Западный административный округ, Академический, Российская Федерация, город Москва, внутригородская территория муниципальный округ Академический, улица Кржижановского, дом 3, Подвал № 0","77:06:0003004:2758, 77:06:0003004:2647",Профсоюзная (8 мин),Подвал,5.0,,Отдельный,Открытый аукцион в электронной форме,2022,Завершено,22.11.2021 20:00:00,13.01.2022 15:00:00,20.01.2022 10:00,24.01.2022 10:00,24.01.2022 17:00,https://178fz.roseltorg.ru/#com/procedure/view/procedure/380892,,55.683329,37.561554,missing,false
https://investmoscow.ru/tenders/tender/18359098,18359098,41.8,2369000.0,56674.64,"473 800,00 руб.","118 450,00 руб.","6396300,00",170.0%,"Северо-Западный административный округ, Покровское-Стрешнево, город Москва, Большая Набережная улица, дом 15, Этаж № 1",77:08:0000000:3055,Тушинская (18 мин),1,7.0,,Отдельный,Открытый аукцион в электронной форме,2022,Завершено,22.12.2021 20:00:00,02.02.2022 15:00:00,09.02.2022 10:00,11.02.2022 10:00,11.02.2022 17:00,https://178fz.roseltorg.ru/#com/procedure/view/procedure/384053,,55.830675,37.457378,page,false
https://investmoscow.ru/tenders/tender/18360372,18360372,232.1,10251000.0,44166.31,"2 050 200,00 руб.","256 275,00 руб.","11532375,00",,"Юго-Западный административный округ, Академический, город Москва, улица Ивана Бабушкина, дом 15, корпус 1-2, Подвал № 0",77:06:0003003:4107,Академическая (10 мин),Подвал,5.0,,Вход через места общего пользования,Публичное предложение,2022,Завершено,26.11.2021 20:00:00,18.01.2022 15:00:00,25.01.2022 10:00,27.01.2022 10:00,27.01.2022 17:00,https://178fz.roseltorg.ru/#com/procedure/view/procedure/381513,,55.685184,37.562495,page,false
https://investmoscow.ru/tenders/tender/18402271,18402271,372.1,28285000.0,76014.51,"5 657 000,00 руб.","1 414 250,00 руб.",,,"г. Москва, ул. Мартеновская, Дом 6 Корпус 1, Подвал № 0, Этаж № 1",77:03:0006014:3030,Новогиреево (15 мин),"Подвал, 0, 1",5.0,,Отдельный,Открытый аукцион в электронной форме,2022,Завершено,13.05.2022 20:00:00,16.06.2022 15:00:00,21.06.2022 10:00,23.06.2022 10:00,23.06.2022 17:00,https://178fz.roseltorg.ru/#com/procedure/view/procedure/393763,,55.7585388,37.8050679,missing,false
