url,номер_лота,площадь_м²,начальная_цена_руб,цена_за_м²,размер_задатка_руб,шаг_аукциона_руб,итоговая_цена_руб,превышение_цены_%,адрес,кадастровый_номер,метро,этаж,этажность,функциональное_назначение,тип_входа,форма_проведения,год_торгов,статус,дата_начала_приёма,дата_окончания_приёма,дата_отбора_участников,дата_проведения_торгов,дата_подведения_итогов,platformLink,ссылка_на_протокол
https://investmoscow.ru/tenders/tender/19713982,19713982,182.3,28257000.0,155002.74,"2 825 700,00 руб.","1 412 850,00 руб.","28257000,00",0.0%,"Северо-Западный административный округ, Покровское-Стрешнево, Волоколамское шоссе, дом 96/2, этаж 1",77:08:0006008:2108,Тушинская (3 мин),1,5,,Вход через места общего пользования,Открытый аукцион в электронной форме,2024,Завершено,31.10.2024 20:00:00,02.12.2024 15:00:00,09.12.2024 10:00,11.12.2024 10:00,11.12.2024 17:00,https://www.roseltorg.ru/procedure/21000005000000023561,
https://investmoscow.ru/tenders/tender/19579965,19579965,174.7,9496000.0,54356.04,"949 600,00 руб.","237 400,00 руб.","5935000,00",-37.5%,"Юго-Восточный административный округ, Выхино-Жулебино, Волгоградский проспект, дом 185/19, Подвал № 0",77:01:0006041:4455,Выхино (32 мин),Подвал,12,,Отдельный,Публичное предложение,2024,Завершено,07.05.2024 20:00:00,24.06.2024 15:00:00,01.07.2024 10:00,03.07.2024 10:00,03.07.2024 17:00,https://www.roseltorg.ru/procedure/21000005000000020222,
https://investmoscow.ru/tenders/tender/19493034,19493034,174.7,9496000.0,54356.04,"949 600,00 руб.","474 800,00 руб.",,,"Юго-Восточный административный округ, Выхино-Жулебино, Волгоградский проспект, дом 185/19, Подвал № 0",77:01:0006041:4455,Выхино (32 мин),Подвал,12,,Отдельный,Открытый аукцион в электронной форме,2024,Завершено,30.01.2024 20:00:00,04.03.2024 15:00:00,11.03.2024 10:00,13.03.2024 10:00,13.03.2024 17:00,https://www.roseltorg.ru/procedure/21000005000000018086,
https://investmoscow.ru/tenders/tender/19547162,19547162,69.7,5636000.0,80860.83,"563 600,00 руб.","281 800,00 руб.",,,"Северо-Восточный административный округ, Бабушкинский, улица Менжинского, дом 23, корпус 2, Подвал № 0",77:02:0014006:3681,Бабушкинская (3 мин),Подвал,17,,Отдельный,Открытый аукцион в электронной форме,2024,Завершено,25.03.2024 20:00:00,16.05.2024 15:00:00,23.05.2024 10:00,28.05.2024 10:00,28.05.2024 17:00,https://www.roseltorg.ru/procedure/21000005000000019016,
https://investmoscow.ru/tenders/tender/19716407,19716407,315.6,20112000.0,63726.24,"2 011 200,00 руб.","1 005 600,00 руб.","32179200,00",60.0%,"Центральный административный округ, Мещанский, Трифоновская улица, дом 49, Подвал № 0","77:01:0003057:3315, 77:01:0003047:2115",Рижская (6 мин),Подвал,8,,Вход через места общего пользования,Открытый аукцион в электронной форме,2024,Завершено,05.11.2024 15:00:00,05.12.2024 15:00:00,12.12.2024 10:00,17.12.2024 10:00,17.12.2024 17:00,https://www.roseltorg.ru/procedure/21000005000000023613,
https://investmoscow.ru/tenders/tender/19482979,19482979,94.2,29169000.0,309649.68,"2 916 900,00 руб.","1 458 450,00 руб.",,,"Центральный административный округ, Мещанский, Трифоновская улица, дом 49, этаж № 1",77:01:0003047:2116,Рижская (0 мин),1,8,,Отдельный,Открытый аукцион в электронной форме,2024,Завершено,23.01.2024 20:00:00,26.02.2024 15:00:00,04.03.2024 10:00,06.03.2024 10:00,06.03.2024 17:00,https://www.roseltorg.ru/procedure/21000005000000017999,
https://investmoscow.ru/tenders/tender/19560037,19560037,50.8,9505000.0,187106.3,"950 500,00 руб.","475 250,00 руб.",,,"Северо-Восточный административный округ, Бибирево, Алтуфьевское шоссе, дом 82, этаж № 1, пом. 1/1",77:02:0003002:3056,Алтуфьево (4 мин),1,22,,Вход через подъезд,Открытый аукцион в электронной форме,2024,Завершено,04.04.2024 20:00:00,10.06.2024 15:00:00,17.06.2024 10:00,19.06.2024 10:00,19.06.2024 17:00,https://www.roseltorg.ru/procedure/21000005000000019285,
https://investmoscow.ru/tenders/tender/19433790,19433790,106.1,13839000.0,130433.55,"2 767 800,00 руб.","691 950,00 руб.",,,"Юго-Западный административный округ, Академический, Большая Черёмушкинская улица, дом 2, корпус 4, этаж 1",77:06:0002008:2070,Крымская (9 мин),1 этаж,14,,Отдельный,Открытый аукцион в электронной форме,2024,Завершено,01.12.2023 20:00:00,15.01.2024 15:00:00,22.01.2024 10:00,25.01.2024 10:00,25.01.2024 17:00,https://www.roseltorg.ru/procedure/21000005000000017105,
https://investmoscow.ru/tenders/tender/19636629,19636629,58.7,6324000.0,107734.24,"632 400,00 руб.","316 200,00 руб.","6640200,00",5.0%,"Юго-Западный административный округ, Южное Бутово, улица Маршала Савицкого, дом 22, корпус 2, этаж 1",77:06:0012020:16960,Бульвар Дмитрия Донского (104 мин),1,14,,Отдельный,Открытый аукцион в электронной форме,2024,Завершено,15.07.2024 20:00:00,15.08.2024 15:00:00,22.08.2024 10:00,27.08.2024 10:00,27.08.2024 17:00,https://www.roseltorg.ru/procedure/21000005000000021671,
https://investmoscow.ru/tenders/tender/19423433,19423433,402.6,41542000.0,103184.3,"4 154 200,00 руб.","1 038 550,00 руб.",,,"Восточный административный округ, Богородское, Ивантеевская улица, дом 1, корпус 1, Этаж № 1",77:03:0001013:3479,Бульвар Рокоссовского (16 мин),1,5,,Вход через места общего пользования,Публичное предложение,2024,Завершено,23.11.2023 20:00:00,18.01.2024 15:00:00,25.01.2024 10:00,29.01.2024 10:00,29.01.2024 17:00,https://www.roseltorg.ru/procedure/21000005000000016980,
https://investmoscow.ru/tenders/tender/19495324,19495324,41.4,3692000.0,89178.74,"369 200,00 руб.","184 600,00 руб.",,,"Северо-Восточный административный округ, Ростокино, проезд Кадомцева, дом 9, Цокольный этаж № 0",77:02:0019008:3016,Улица Сергея Эйзенштейна ( мин),Цоколь,5,,Вход через места общего пользования,Открытый аукцион в электронной форме,2024,Завершено,30.01.2024 20:00:00,05.03.2024 15:00:00,12.03.2024 10:00,14.03.2024 10:00,14.03.2024 17:00,https://www.roseltorg.ru/procedure/21000005000000018113,
https://investmoscow.ru/tenders/tender/19494721,19494721,180.4,12299000.0,68176.27,"2 459 800,00 руб.","184 485,00 руб.",,,"Центральный административный округ, Басманный, Плетешковский переулок, дом 3А, строение 1, Подвал № 0",77:01:0003017:3840,Бауманская (3 мин),Подвал,5,,Отдельный,Публичное предложение,2024,Завершено,31.01.2024 20:00:00,06.03.2024 15:00:00,14.03.2024 10:00,19.03.2024 10:00,19.03.2024 17:00,https://www.roseltorg.ru/procedure/21000005000000018134,
https://investmoscow.ru/tenders/tender/19494405,19494405,130.4,9290000.0,71242.33,"1 858 000,00 руб.","139 350,00 руб.",,,"Центральный административный округ, Басманный, Плетешковский переулок, дом 3А, строение 1, Подвал № 0",77:01:0003017:3838,Бауманская (3 мин),"Подвал, 0",5,,Отдельный,Публичное предложение,2024,Завершено,31.01.2024 20:00:00,06.03.2024 15:00:00,14.03.2024 10:00,19.03.2024 10:00,19.03.2024 17:00,https://www.roseltorg.ru/procedure/21000005000000018133,
https://investmoscow.ru/tenders/tender/19464318,19464318,112.8,22506000.0,199521.28,"2 250 600,00 руб.","1 125 300,00 руб.","22506000,00",0.0%,"Центральный административный округ, Замоскворечье, Большая Пионерская улица, дом 13/6А, строение 1, Этаж № 4",77:01:0006014:3581,Павелецкая (6 мин),4,5,,Вход через места общего пользования,Открытый аукцион в электронной форме,2024,Завершено,25.12.2023 20:00:00,31.01.2024 15:00:00,07.02.2024 10:00,09.02.2024 10:00,09.02.2024 17:00,https://www.roseltorg.ru/procedure/21000005000000017516,
https://investmoscow.ru/tenders/tender/19705996,19705996,42.2,7582000.0,179668.25,"758 200,00 руб.","379 100,00 руб.","10993900,00",45.0%,"Восточный административный округ, Преображенское, улица Атарбекова, дом 4А, Этаж № 1",77:03:0003025:5257,Преображенская площадь (5 мин),1,5,,Вход через места общего пользования,Открытый аукцион в электронной форме,2024,Завершено,17.10.2024 20:00:00,20.11.2024 15:00:00,27.11.2024 10:00,29.11.2024 10:00,29.11.2024 17:00,https://www.roseltorg.ru/procedure/21000005000000023340,
https://investmoscow.ru/tenders/tender/19522516,19522516,233.7,24190150.0,103509.41,"2 419 015,00 руб.","1 209 507,50 руб.",,,"Юго-Восточный административный округ, Некрасовка, Рождественская улица, дом 21, корпус 4, Этаж № 1",77:16:0010105:5860,Некрасовка (9 мин),1,17,,Отдельный,Открытый аукцион в электронной форме,2024,Завершено,26.02.2024 20:00:00,28.03.2024 15:00:00,04.04.2024 10:00,09.04.2024 10:00,09.04.2024 17:00,https://www.roseltorg.ru/procedure/21000005000000018521,
https://investmoscow.ru/tenders/tender/19704800,19704800,77.7,4625000.0,59523.81,"462 500,00 руб.","231 250,00 руб.",,,"Северо-Западный административный округ, Южное Тушино, Туристская улица, дом 7, Подвал № 0",77:08:0003001:10509,Сходненская (13 мин),Подвал,5,,Отдельный,Открытый аукцион в электронной форме,2024,Завершено,16.10.2024 20:00:00,19.11.2024 15:00:00,26.11.2024 10:00,28.11.2024 10:00,28.11.2024 17:00,https://www.roseltorg.ru/procedure/21000005000000023283,
https://investmoscow.ru/tenders/tender/19705887,19705887,53.3,6297000.0,118142.59,"629 700,00 руб.","314 850,00 руб.",,,"Юго-Западный административный округ, Котловка, Нагорный бульвар, дом 14, Этаж № 1",77:05:0003001:1817,Нагорная (15 мин),1,5,,Вход через места общего пользования,Открытый аукцион в электронной форме,2024,Завершено,17.10.2024 20:00:00,19.11.2024 15:00:00,26.11.2024 10:00,28.11.2024 10:00,28.11.2024 17:00,https://www.roseltorg.ru/procedure/21000005000000023336,
https://investmoscow.ru/tenders/tender/19618049,19618049,101.1,7811000.0,77260.14,"781 100,00 руб.","195 275,00 руб.",,,"Центральный административный округ, Хамовники, 3-я Фрунзенская улица, дом 7, Подвал № 0",77:01:0005018:7596,Спортивная (11 мин),Подвал,9,,Вход через подъезд,Публичное предложение,2024,Завершено,20.06.2024 20:00:00,25.07.2024 15:00:00,01.08.2024 10:00,05.08.2024 10:00,05.08.2024 17:00,https://www.roseltorg.ru/procedure/21000005000000021206,
https://investmoscow.ru/tenders/tender/19534765,19534765,101.1,7811000.0,77260.14,"781 100,00 руб.","390 550,00 руб.",,,"Центральный административный округ, Хамовники, 3-я Фрунзенская улица, дом 7, Подвал № 0",77:01:0005018:7596,Спортивная (11 мин),Подвал,9,,Вход через подъезд,Открытый аукцион в электронной форме,2024,Завершено,12.03.2024 20:00:00,17.04.2024 15:00:00,24.04.2024 10:00,26.04.2024 10:00,26.04.2024 17:00,https://www.roseltorg.ru/procedure/21000005000000018775,
https://investmoscow.ru/tenders/tender/19438632,19438632,103.5,13089000.0,126463.77,"1 308 900,00 руб.","654 450,00 руб.",,,"Центральный административный округ, Хамовники, 3-я Фрунзенская улица, дом 7, подвал № 0",77:01:0005018:7595,Спортивная ( мин),Подвал,9,,Вход через места общего пользования,Открытый аукцион в электронной форме,2024,Завершено,04.12.2023 20:00:00,05.02.2024 15:00:00,12.02.2024 10:00,14.02.2024 10:00,14.02.2024 17:00,https://www.roseltorg.ru/procedure/21000005000000017116,
