url,номер_лота,площадь_м²,начальная_цена_руб,цена_за_м²,размер_задатка_руб,шаг_аукциона_руб,итоговая_цена_руб,превышение_цены_%,адрес,кадастровый_номер,метро,этаж,этажность,функциональное_назначение,тип_входа,форма_проведения,год_торгов,статус,дата_начала_приёма,дата_окончания_приёма,дата_отбора_участников,дата_проведения_торгов,дата_подведения_итогов,platformLink,ссылка_на_протокол,????????_????????_????,????????_????_????????????
https://investmoscow.ru/tenders/tender/19764313,19764313,274.2,60314550.0,219965.54,"6 031 455,00 руб.","3 015 727,50 руб.","117613372,50",95.0%,"Северо-Восточный административный округ, Ярославский, Ярославское шоссе, дом 2, корпус 2, Этаж № 1",77:02:0016005:4945,Ростокино (21 мин),1,14.0,,Отдельный,Открытый аукцион в электронной форме,2025,Завершено,18.02.2025 20:00:00,27.03.2025 15:00:00,03.04.2025 10:00,08.04.2025 10:00,08.04.2025 17:00,https://www.roseltorg.ru/procedure/21000005000000024539/1,,protocol,true
https://investmoscow.ru/tenders/tender/19847691,19847691,315.6,23693000.0,75072.88,"2 369 300,00 руб.","1 184 650,00 руб.","31985550,00",35.0%,"Центральный административный округ, Мещанский, Трифоновская улица, дом 49, Подвал № 0","77:01:0003057:3315, 77:01:0003047:2115",Рижская (6 мин),Подвал,8.0,,Вход через места общего пользования,Открытый аукцион в электронной форме,2025,Завершено,26.08.2025 15:00:00,25.09.2025 15:00:00,02.10.2025 10:00,07.10.2025 10:00,07.10.2025 17:00,https://www.roseltorg.ru/procedure/21000005000000026328/1,,protocol,true
https://investmoscow.ru/tenders/tender/19778673,19778673,94.2,29711000.0,315403.4,"2 971 100,00 руб.","1 485 550,00 руб.","43080950,00",45.0%,"Центральный административный округ, Мещанский, Трифоновская улица, дом 49, этаж № 1",77:01:0003047:2116,Рижская (0 мин),1,8.0,,Отдельный,Открытый аукцион в электронной форме,2025,Завершено,24.03.2025 20:00:00,05.05.2025 15:00:00,12.05.2025 10:00,14.05.2025 10:00,14.05.2025 17:00,https://www.roseltorg.ru/procedure/21000005000000024960/1,,protocol,true
https://investmoscow.ru/tenders/tender/19890661,19890661,86.4,5600000.0,64814.81,"560 000,00 руб.","140 000,00 руб.","5040000,00",,"Юго-Западный административный округ, Академический, улица Кржижановского, дом 5, корпус 2, Подвал № 0",77:06:0004001:10571,Профсоюзная (8 мин),Подвал,5.0,,Вход через места общего пользования,Публичное предложение,2025,Завершено,08.10.2025 20:00:00,01.12.2025 15:00:00,08.12.2025 10:00,10.12.2025 10:00,10.12.2025 17:00,https://www.roseltorg.ru/procedure/21000005000000027016/1,,protocol,true
https://investmoscow.ru/tenders/tender/19816439,19816439,86.4,5600000.0,64814.81,"560 000,00 руб.","280 000,00 руб.",,,"Юго-Западный административный округ, Академический, улица Кржижановского, дом 5, корпус 2, Подвал № 0",77:06:0004001:10571,Профсоюзная (8 мин),Подвал,5.0,,Вход через места общего пользования,Открытый аукцион в электронной форме,2025,Завершено,14.07.2025 20:00:00,26.08.2025 15:00:00,02.09.2025 10:00,04.09.2025 10:00,04.09.2025 17:00,https://www.roseltorg.ru/procedure/21000005000000025904/1,,missing,false
https://investmoscow.ru/tenders/tender/19798087,19798087,86.4,5600000.0,64814.81,"560 000,00 руб.","280 000,00 руб.",,,"Юго-Западный административный округ, Академический, улица Кржижановского, дом 5, корпус 2, Подвал № 0",77:06:0004001:10571,Профсоюзная (8 мин),Подвал,5.0,,Вход через места общего пользования,Открытый аукцион в электронной форме,2025,Завершено,16.05.2025 20:00:00,07.07.2025 15:00:00,14.07.2025 10:00,16.07.2025 10:00,16.07.2025 17:00,https://www.roseltorg.ru/procedure/21000005000000025500/1,,missing,false
https://investmoscow.ru/tenders/tender/19778383,19778383,86.4,5600000.0,64814.81,"560 000,00 руб.","280 000,00 руб.",,,"Юго-Западный административный округ, Академический, улица Кржижановского, дом 5, корпус 2, Подвал № 0",77:06:0004001:10571,Профсоюзная (8 мин),Подвал,5.0,,Вход через места общего пользования,Открытый аукцион в электронной форме,2025,Завершено,24.03.2025 20:00:00,05.05.2025 15:00:00,12.05.2025 10:00,14.05.2025 10:00,14.05.2025 17:00,https://www.roseltorg.ru/procedure/21000005000000024956/1,,missing,false
https://investmoscow.ru/tenders/tender/19783247,19783247,178.4,36647100.0,205420.96,"3 664 710,00 руб.","1 832 355,00 руб.","36647100,00",0.0%,"Юго-Западный административный округ, Коньково, улица Миклухо-Маклая, дом 30, Этаж № 1",77:06:0006001:11298,Беляево (0 мин),1 этаж,17.0,,Вход через подъезд,Открытый аукцион в электронной форме,2025,Завершено,03.04.2025 20:00:00,21.05.2025 15:00:00,28.05.2025 10:00,30.05.2025 10:00,30.05.2025 17:00,https://www.roseltorg.ru/procedure/21000005000000025138/1,,page,false
https://investmoscow.ru/tenders/tender/19864342,19864342,150.7,12135600.0,80528.2,"1 213 560,00 руб.","606 780,00 руб.",,,"Северо-Восточный административный округ, Ростокино, проезд Кадомцева, дом 9, Цокольный этаж № 0, помещение 2П",77:02:0019008:3015,Ростокино (18 мин),Цоколь,5.0,,Отдельный,Открытый аукцион в электронной форме,2025,Завершено,15.09.2025 20:00:00,16.10.2025 15:00:00,23.10.2025 10:00,28.10.2025 10:00,28.10.2025 17:00,https://www.roseltorg.ru/procedure/21000005000000026630/1,,missing,false
https://investmoscow.ru/tenders/tender/19860773,19860773,41.4,3231900.0,78065.22,"323 190,00 руб.","161 595,00 руб.",,,"Северо-Восточный административный округ, Ростокино, проезд Кадомцева, дом 9, Цокольный этаж № 0",77:02:0019008:3016,Ростокино (18 мин),Цоколь,5.0,,Вход через места общего пользования,Открытый аукцион в электронной форме,2025,Завершено,09.09.2025 20:00:00,14.10.2025 15:00:00,21.10.2025 10:00,23.10.2025 10:00,23.10.2025 17:00,https://www.roseltorg.ru/procedure/21000005000000026539/1,,missing,false
