url,номер_лота,площадь_м²,начальная_цена_руб,цена_за_м²,размер_задатка_руб,шаг_аукциона_руб,итоговая_цена_руб,превышение_цены_%,адрес,кадастровый_номер,метро,этаж,этажность,функциональное_назначение,тип_входа,форма_проведения,год_торгов,статус,дата_начала_приёма,дата_окончания_приёма,дата_отбора_участников,дата_проведения_торгов,дата_подведения_итогов,platformLink,ссылка_на_протокол,latitude,longitude
https://investmoscow.ru/tenders/tender/19860773,19860773,41.4,3231900.0,78065.22,"323 190,00 руб.","161 595,00 руб.",,,"Северо-Восточный административный округ, Ростокино, проезд Кадомцева, дом 9, Цокольный этаж № 0",77:02:0019008:3016,Ростокино (18 мин),Цоколь,5.0,,Вход через места общего пользования,Открытый аукцион в электронной форме,2025,Завершено,09.09.2025 20:00:00,14.10.2025 15:00:00,21.10.2025 10:00,23.10.2025 10:00,23.10.2025 17:00,https://www.roseltorg.ru/procedure/21000005000000026539/1,,55.8291986,37.661796
https://investmoscow.ru/tenders/tender/19969955,19969955,39.5,1907000.0,48278.48,"190 700,00 руб.","95 350,00 руб.","2383750,00",25.0%,"Зеленоградский административный округ, Силино, город Зеленоград, корпус 1106, Подвал № 0",77:10:0001003:4118,Ховрино (316 мин),Подвал,12.0,,Вход через места общего пользования,Открытый аукцион в электронной форме,2026,Завершено,26.12.2025 20:00:00,16.03.2026 15:00:00,23.03.2026 10:00,25.03.2026 10:00,25.03.2026 17:00,https://www.roseltorg.ru/procedure/21000005000000028693/1,,55.991971,37.214241
https://investmoscow.ru/tenders/tender/19924985,19924985,39.5,1907000.0,48278.48,"190 700,00 руб.","95 350,00 руб.",,,"Зеленоградский административный округ, Силино, город Зеленоград, корпус 1106, Подвал № 0",77:10:0001003:4118,Ховрино (316 мин),Подвал,12.0,,Вход через места общего пользования,Открытый аукцион в электронной форме,2025,Завершено,10.11.2025 20:00:00,11.12.2025 15:00:00,18.12.2025 10:00,23.12.2025 10:00,23.12.2025 17:00,https://www.roseltorg.ru/procedure/21000005000000027622/1,,55.991971,37.214241
https://investmoscow.ru/tenders/tender/19744697,19744697,12.2,4471000.0,366475.41,"447 100,00 руб.","223 550,00 руб.","6482950,00",45.0%,"Центральный административный округ, Тверской, Новая площадь, дом 8, строение 1, Этаж № 4",77:01:0001010:2955,Лубянка (1 мин),4,4.0,,Вход через места общего пользования,Открытый аукцион в электронной форме,2025,Завершено,24.01.2025 20:00:00,05.03.2025 15:00:00,12.03.2025 10:00,14.03.2025 10:00,14.03.2025 17:00,https://www.roseltorg.ru/procedure/21000005000000024280/1,,55.7580963,37.6266937
https://investmoscow.ru/tenders/tender/19773158,19773158,13.6,1453000.0,106838.24,"145 300,00 руб.","72 650,00 руб.","2542750,00",75.0%,"Северный административный округ, Западное Дегунино, Новая улица, дом 10, этаж №1",77:01:0001010:2370,Речной вокзал (0 мин),1,14.0,,Вход через места общего пользования,Открытый аукцион в электронной форме,2025,Завершено,14.03.2025 20:00:00,28.04.2025 15:00:00,05.05.2025 10:00,07.05.2025 10:00,07.05.2025 17:00,https://www.roseltorg.ru/procedure/21000005000000024852,,55.875382,37.5126944
https://investmoscow.ru/tenders/tender/19816788,19816788,34.2,1610000.0,47076.02,"322 000,00 руб.","80 500,00 руб.",,,"Северный административный округ, Коптево, улица Космонавта Волкова, дом 25/2, Подвал № 0","77:09:0003020:6427, 77:09:0003020:6428",Войковская (0 мин),Подвал,7.0,,Вход через подъезд,Открытый аукцион в электронной форме,2025,Завершено,23.07.2025 20:00:00,26.08.2025 15:00:00,02.09.2025 10:00,05.09.2025 10:00,05.09.2025 17:00,https://www.roseltorg.ru/procedure/178fz23072500041/1,,55.816807,37.5221534
https://investmoscow.ru/tenders/tender/19773312,19773312,23.8,2125000.0,89285.71,"425 000,00 руб.","106 250,00 руб.",,,"Центральный административный округ, Арбат, Большой Афанасьевский переулок, дом 31, Подвал","77:01:0001047:4392, 77:01:0001047:4393",Арбатская (0 мин),Подвал,6.0,,Вход через подъезд,Открытый аукцион в электронной форме,2025,Завершено,02.04.2025 10:00:00,07.05.2025 15:00:00,16.05.2025 10:00,21.05.2025 10:00,21.05.2025 17:00,https://www.roseltorg.ru/procedure/178fz02042500001/1,,55.7489358,37.5964578
https://investmoscow.ru/tenders/tender/19788741,19788741,69.8,4790000.0,68624.64,"479 000,00 руб.","239 500,00 руб.","7185000,00",50.0%,"Южный административный округ, Нагорный, Варшавское шоссе, дом 69, корпус 2, Подвал № 0, помещение 1П",77:05:0001020:3476,Нахимовский проспект (0 мин),Подвал,8.0,,Вход через места общего пользования,Открытый аукцион в электронной форме,2025,Завершено,25.04.2025 20:00:00,11.06.2025 15:00:00,18.06.2025 10:00,20.06.2025 10:00,20.06.2025 17:00,https://www.roseltorg.ru/procedure/21000005000000025295/1,,55.6616848,37.6202645
https://investmoscow.ru/tenders/tender/19801688,19801688,51.0,2957000.0,57980.39,"295 700,00 руб.","147 850,00 руб.",,,"Северо-Восточный административный округ, Ростокино, улица Сергея Эйзенштейна, дом 6, подвал № 0",77:02:0018009:1385,ВДНХ (0 мин),Подвал,8.0,,Вход через места общего пользования,Открытый аукцион в электронной форме,2025,Завершено,27.05.2025 20:00:00,30.06.2025 15:00:00,07.07.2025 10:00,09.07.2025 10:00,09.07.2025 17:00,https://www.roseltorg.ru/procedure/21000005000000025582/1,,55.8333174,37.6408621
https://investmoscow.ru/tenders/tender/19742657,19742657,15.0,4753800.0,316920.0,"475 380,00 руб.","237 690,00 руб.",,,"Северо-Западный административный округ, Щукино, улица Маршала Бирюзова, дом 8, корпус 1, Этаж №1",77:08:0009033:3441,Октябрьское поле (1 мин),1 этаж,9.0,,Вход через места общего пользования,Открытый аукцион в электронной форме,2025,Завершено,24.01.2025 20:00:00,26.02.2025 15:00:00,05.03.2025 10:00,07.03.2025 10:00,07.03.2025 17:00,https://www.roseltorg.ru/procedure/21000005000000024291/1,,55.7924608,37.4984186
https://investmoscow.ru/tenders/tender/19993855,19993855,7.8,1945800.0,249461.54,"194 580,00 руб.","97 290,00 руб.","1945800,00",0.0%,"Центральный административный округ, Басманный, Садовая-Черногрязская улица, дом 3Б, строение 1, Подвал № 0",77:01:0003008:3971,Красные Ворота (0 мин),Подвал,5.0,,Вход через места общего пользования,Открытый аукцион в электронной форме,2026,Завершено,03.02.2026 20:00:00,05.03.2026 15:00:00,12.03.2026 10:00,17.03.2026 10:00,17.03.2026 17:00,https://www.roseltorg.ru/procedure/21000005000000029042/1,,55.7671851,37.6532942
https://investmoscow.ru/tenders/tender/19943387,19943387,7.8,1945800.0,249461.54,"194 580,00 руб.","97 290,00 руб.",,,"Центральный административный округ, Басманный, Садовая-Черногрязская улица, дом 3Б, строение 1, Подвал № 0",77:01:0003008:3971,Красные Ворота (0 мин),Подвал,5.0,,Вход через места общего пользования,Открытый аукцион в электронной форме,2026,Завершено,25.11.2025 20:00:00,19.01.2026 15:00:00,26.01.2026 10:00,28.01.2026 10:00,28.01.2026 17:00,https://www.roseltorg.ru/procedure/21000005000000028028/1,,55.7671851,37.6532942
https://investmoscow.ru/tenders/tender/19800047,19800047,7.8,2249000.0,288333.33,"224 900,00 руб.","112 450,00 руб.",,,"Центральный административный округ, Басманный, Садовая-Черногрязская улица, дом 3Б, строение 1, Подвал № 0",77:01:0003008:3971,Красные Ворота (0 мин),Подвал,5.0,,Отдельный,Открытый аукцион в электронной форме,2025,Завершено,27.05.2025 20:00:00,07.07.2025 15:00:00,14.07.2025 10:00,16.07.2025 10:00,16.07.2025 17:00,https://www.roseltorg.ru/procedure/21000005000000025575/1,,55.7671851,37.6532942
https://investmoscow.ru/tenders/tender/19920371,19920371,51.9,4311000.0,83063.58,"431 100,00 руб.","215 550,00 руб.","12286350,00",185.0%,"Юго-Западный административный округ, Гагаринский, Ленинский проспект, дом 52, Этаж № 1,пом. 7А/1",77:06:0001002:3413,Академическая (0 мин),1,8.0,,Вход через места общего пользования,Открытый аукцион в электронной форме,2025,Завершено,05.11.2025 20:00:00,08.12.2025 15:00:00,15.12.2025 10:00,17.12.2025 10:00,17.12.2025 17:00,https://www.roseltorg.ru/procedure/21000005000000027516/1,,55.6994073,37.5638172
